year,source_url,source_org,raw_filename,file_format,doc_filename,imported,notes
2000,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2000us.zip,NCHS/DVS,Nat2000us.zip,zip; ASCII fixed-width 350-byte records (US only),Nat2000doc.pdf,true,"Nat2000doc.pdf in raw_docs/. Zip: raw_data/Nat2000us.zip. Unrevised 1989 certificate only."
2001,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2001us.zip,NCHS/DVS,Nat2001us.zip,zip; ASCII fixed-width 350-byte records (US only),Nat2001doc.pdf,true,"Nat2001doc.pdf in raw_docs/. Zip: raw_data/Nat2001us.zip. Unrevised 1989 certificate only."
2002,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2002us.zip,NCHS/DVS,Nat2002us.zip,zip; ASCII fixed-width 350-byte records (US only),Nat2002doc.pdf,true,"Nat2002doc.pdf in raw_docs/. Zip: raw_data/Nat2002us.zip. Unrevised 1989 certificate only."
2003,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2003us.zip,NCHS/DVS,Nat2003us.zip,zip; ASCII fixed-width 1350-byte records (dual certificate transition),Nat2003doc.pdf,true,"Nat2003doc.pdf in raw_docs/. Zip: raw_data/Nat2003us.zip. First year of 2003 revised certificate transition; MAGER41 recode (not single-year age)."
2004,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2004us.zip,NCHS/DVS,Nat2004us.zip,zip; ASCII fixed-width 1500-byte records (dual certificate transition),Nat2004doc.pdf,true,"Nat2004doc.pdf in raw_docs/. Zip: raw_data/Nat2004us.zip. Second year of certificate transition; MAGER now single-year age."
2005,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2005us.zip,NCHS/DVS,Nat2005us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2005.pdf,true,"UserGuide2005.pdf in raw_docs/. Zip: raw_data/Nat2005us.zip. Inner: Nat2005us.dat (~6.2 GB uncompressed)."
2006,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2006us.zip,NCHS/DVS,Nat2006us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2006.pdf,true,"UserGuide2006.pdf in raw_docs/. Zip: raw_data/Nat2006us.zip. Inner: Nat2006us.dat (~3.3 GB uncompressed)."
2007,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2007us.zip,NCHS/DVS,Nat2007us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2007.pdf,true,"UserGuide2007.pdf in raw_docs/. Zip: raw_data/Nat2007us.zip. Inner: Nat2007us.dat (~3.4 GB uncompressed)."
2008,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2008us.zip,NCHS/DVS,Nat2008us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2008.pdf,true,"UserGuide2008.pdf in raw_docs/. Zip: raw_data/Nat2008us.zip. Inner: Nat2008us.dat (~3.3 GB uncompressed)."
2009,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2009us.zip,NCHS/DVS,Nat2009us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2009.pdf; UserGuide2009_Addendum.pdf,true,"UserGuide2009.pdf + Addendum in raw_docs/. Zip: raw_data/Nat2009us.zip. Inner: Nat2009usPub.r20131202 (~3.2 GB uncompressed)."
2010,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2010us.zip,NCHS/DVS,Nat2010us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2010.pdf; UserGuide2010_Addendum.pdf,true,"UserGuide2010.pdf + Addendum in raw_docs/. Zip: raw_data/Nat2010us.zip. Inner: Nat2010PublicUS.r20131202 (~3.1 GB uncompressed)."
2011,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2011us.zip,NCHS/DVS,Nat2011us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2011.pdf,true,"UserGuide2011.pdf in raw_docs/. Zip: raw_data/Nat2011us.zip. Inner: Nat2011PublicUS.r20131211 (~3.1 GB uncompressed)."
2012,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2012us.zip,NCHS/DVS,Nat2012us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2012.pdf,true,"UserGuide2012.pdf in raw_docs/. Zip: raw_data/Nat2012us.zip. Inner: Nat2012PublicUS.r20131217 (~3.1 GB uncompressed)."
2013,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2013us.zip,NCHS/DVS,Nat2013us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2013.pdf,true,"UserGuide2013.pdf in raw_docs/. Zip: raw_data/Nat2013us.zip. Inner: Nat2013PublicUS.r20141016 (~3.1 GB uncompressed)."
2014,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2014us.zip,NCHS/DVS,Nat2014us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2014.pdf,true,"UserGuide2014.pdf in raw_docs/. Zip: raw_data/Nat2014us.zip. Inner: Nat2014PublicUS.c20150514.r20151022.txt (~5.4 GB uncompressed)."
2015,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2015us.zip,NCHS/DVS,Nat2015us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2015.pdf,true,"UserGuide2015.pdf in raw_docs/. Zip: raw_data/Nat2015us.zip. Inner: Nat2015PublicUS.c20160517.r20160907.txt (~5.4 GB uncompressed)."
2016,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2016us.zip,NCHS/DVS,Nat2016us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2016.pdf,true,"UserGuide2016.pdf in raw_docs/. Zip: raw_data/Nat2016us.zip. Inner: Nat2016PublicUS.c20170517.r20190620.txt (~5.33 GB uncompressed; deflate64)."
2017,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2017us.zip,NCHS/DVS,Nat2017us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2017.pdf,true,"UserGuide2017.pdf in raw_docs/. Zip: raw_data/Nat2017us.zip. Inner: Nat2017PublicUS.c20180516.r20180808.txt (~5.21 GB uncompressed; deflate64)."
2018,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2018us.zip,NCHS/DVS,Nat2018us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2018.pdf,true,"UserGuide2018.pdf in raw_docs/. Zip: raw_data/Nat2018us.zip. Inner: Nat2018PublicUS.c20190509.r20190717.txt (~5.12 GB uncompressed; deflate)."
2019,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2019us.zip,NCHS/DVS,Nat2019us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2019-508.pdf,true,"UserGuide2019-508.pdf in raw_docs/. Zip: raw_data/Nat2019us.zip. Inner: Nat2019PublicUS.c20200506.r20200915.txt (~5.06 GB uncompressed; deflate)."
2020,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2020us.zip,NCHS/DVS,Nat2020us.zip,zip; ASCII fixed-width inside (see User Guide),UserGuide2020.pdf,true,"UserGuide2020.pdf in raw_docs/. Zip: raw_data/Nat2020us.zip. Inner: Nat2020PublicUS.c20210506.r20210812.txt (~4.88 GB uncompressed; deflate64)."
2005_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO05US.zip,NCHS/DVS,LinkCO05US.zip,zip; ASCII fixed-width 900-byte denominator-plus records (deflate),LinkCO05Guide.pdf,true,"Cohort linked birth-infant death. Denom member: VS05LKBC.DUSDENOM (3,739,590,074 bytes). Members: VS05LKBC.DUSDENOM, VS05LKBC.USNUMPUB, VS05LKBC.USUNMPUB"
2006_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO06US.zip,NCHS/DVS,LinkCO06US.zip,zip; ASCII fixed-width 900-byte denominator-plus records (deflate),,true,"Cohort linked birth-infant death. Denom member: VS06LKBC.DUSDENOM (3,854,484,128 bytes). Members: VS06LKBC.DUSDENOM, VS06LKBC.USNUMPUB, VS06LKBC.USUNMPUB"
2007_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO07US.zip,NCHS/DVS,LinkCO07US.zip,zip; ASCII fixed-width 900-byte denominator-plus records (deflate),,true,"Cohort linked birth-infant death. Denom member: VS07LKBC.DUSDENOM (3,900,255,216 bytes). Members: VS07LKBC.DUSDENOM, VS07LKBC.USNUMPUB, VS07LKBC.USUNMPUB"
2008_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO08US.zip,NCHS/DVS,LinkCO08US.zip,zip; ASCII fixed-width 900-byte denominator-plus records (deflate),,true,"Cohort linked birth-infant death. Denom member: VS08LKBC.DUSDENOM (3,838,179,576 bytes). Members: VS08LKBC.DUSDENOM, VS08LKBC.USUNMPUB, VS08LKBC.USNUMPUB"
2009_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO09US.zip,NCHS/DVS,LinkCO09US.zip,zip; ASCII fixed-width 900-byte denominator-plus records (deflate),,true,"Cohort linked birth-infant death. Denom member: VS09LKBC.PublicUse.DUSDENOM (3,732,328,072 bytes). Members: VS09LKBC.PublicUse.DUSDENOM, VS09LKBC.PublicUse.USNUMPUB.USNUMPUB, VS09LKBC.PublicUse.USUNMPUB"
2010_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO10US.zip,NCHS/DVS,LinkCO10US.zip,zip; ASCII fixed-width 900-byte denominator-plus records (deflate),LinkCO10Guide.pdf,true,"Cohort linked birth-infant death. Denom member: VS10LKBC.PubilcUse.DUSDENOM (3,614,408,710 bytes). Members: VS10LKBC.PubilcUse.DUSDENOM, VS10LKBC.PublicUse.USNUMPUB, VS10LKBC.PublicUse.USUNMPUB"
2011_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO11US.zip,NCHS/DVS,LinkCO11US.zip,zip; ASCII fixed-width 900-byte denominator-plus records (deflate),,true,"Cohort linked birth-infant death. Denom member: VS11LKBC.PubilcUse.DUSDENOM (3,573,021,342 bytes). Members: VS11LKBC.PubilcUse.DUSDENOM, VS11LKBC.PublicUse.USNUMPUB"
2012_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO12US.zip,NCHS/DVS,LinkCO12US.zip,zip; ASCII fixed-width 900-byte denominator-plus records (deflate),,true,"Cohort linked birth-infant death. Denom member: VS12LKBC.DUSDENOM (3,572,638,894 bytes). Members: VS12LKBC.DUSDENOM, VS12LKBC.USNUMPUB"
2013_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO13US.zip,NCHS/DVS,LinkCO13US.zip,zip; ASCII fixed-width 900-byte denominator-plus records (deflate64),,true,"Cohort linked birth-infant death. Denom member: VS13LKBC.PublicUse.DUSDENOM (3,554,569,128 bytes). Members: VS13LKBC.PublicUse.DUSDENOM, VS13LKBC.PublicUse.USNUMPUB"
2014_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO14US.zip,NCHS/DVS,LinkCO14US.zip,zip; ASCII fixed-width 1384-byte denominator-plus records (lzma),,true,"Cohort linked birth-infant death. Denom member: VS14LKBC.PublicUse.DUSDENOM_2019-08-22 (5,541,470,550 bytes). Members: VS14LKBC.PublicUse.DUSDENOM_2019-08-22, VS14LKBC.PublicUse.USNUMPUB_2019_08_22"
2015_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/cohortlinkedus/LinkCO15US.zip,NCHS/DVS,LinkCO15US.zip,zip; ASCII fixed-width 1384-byte denominator-plus records (deflate),LinkCO15Guide.pdf,true,"Cohort linked birth-infant death. Denom member: VS15LKBC.PublicUse.DUSDENOM (5,528,383,938 bytes). Members: VS15LKBC.PublicUse.DUSDENOM, VS15LKBC.PublicUse.USNUMPUB_2019_11_25"
2021,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2021us.zip,NCHS/DVS,Nat2021us.zip,zip; ASCII fixed-width 1345-byte records (revised only),UserGuide2021.pdf,true,Revised 2003 certificate only.
2022,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2022us.zip,NCHS/DVS,Nat2022us.zip,zip; ASCII fixed-width 1345-byte records (revised only),UserGuide2022.pdf,true,Revised 2003 certificate only.
2023,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2023us.zip,NCHS/DVS,Nat2023us.zip,zip; ASCII fixed-width 1345-byte records (revised only),UserGuide2023.pdf,true,Revised 2003 certificate only.
2024,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2024us.zip,NCHS/DVS,Nat2024us.zip,zip; ASCII fixed-width 1345-byte records (revised only),UserGuide2024.pdf,true,Revised 2003 certificate only.
2016_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2017PE2016CO.zip,NCHS/DVS,2017PE2016CO.zip,zip; period-cohort linked (separate denom + numer files),,true,Period-cohort linked birth-infant death file. Cohort year 2016.
2017_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2018PE2017CO.zip,NCHS/DVS,2018PE2017CO.zip,zip; period-cohort linked (separate denom + numer files),,true,Period-cohort linked birth-infant death file. Cohort year 2017.
2018_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2019PE2018CO.zip,NCHS/DVS,2019PE2018CO.zip,zip; period-cohort linked (separate denom + numer files),,true,Period-cohort linked birth-infant death file. Cohort year 2018.
2019_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2020PE2019CO.zip,NCHS/DVS,2020PE2019CO.zip,zip; period-cohort linked (separate denom + numer files),,true,Period-cohort linked birth-infant death file. Cohort year 2019.
2020_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2021PE2020CO.zip,NCHS/DVS,2021PE2020CO.zip,zip; period-cohort linked (separate denom + numer files),,true,Period-cohort linked birth-infant death file. Cohort year 2020.
2021_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2022PE2021CO.zip,NCHS/DVS,2022PE2021CO.zip,zip; period-cohort linked (separate denom + numer files),,true,Period-cohort linked birth-infant death file. Cohort year 2021.
2022_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2023PE2022CO.zip,NCHS/DVS,2023PE2022CO.zip,zip; period-cohort linked (separate denom + numer files),,true,Period-cohort linked birth-infant death file. Cohort year 2022.
2023_linked,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2024PE2023CO.zip,NCHS/DVS,2024PE2023CO.zip,zip; period-cohort linked (separate denom + numer files),,true,Period-cohort linked birth-infant death file. Cohort year 2023.
