position_start,position_end,length,field_name,description,version,values_summary,notes
275,275,1,ME_ROUT,Route & Method of Delivery,A,1=Spontaneous; 2=Forceps; 3=Vacuum; 4=Cesarean; 9=Unknown or not stated,Reporting flag 389
276,276,1,ME_TRIAL,Trial of Labor Attempted,A,Y=Yes; N=No; X=Not applicable; U=Unknown or not stated,Reporting flag 390
277,277,1,RDMETH_REC,Delivery Method Recode (Revised),A,1=Vaginal; 2=VBAC; 3=Primary C-section; 4=Repeat C-section; 5=Vaginal (unknown if prev C-sec); 6=C-section (unknown if prev C-sec); 9=Not stated,Reporting flag c389
278,279,2,FILLER,Filler,,,
280,280,1,DMETH_REC,Delivery Method Recode,"A,S",1=Vaginal; 2=C-section; 9=Not stated,Reporting flag 410
281,281,1,MM_RUPT,Ruptured Uterus,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 391
282,282,1,MM_ICU,Admit to Intensive Care,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 392
283,283,1,ATTEND,Attendant,"A,S",1=MD; 2=DO; 3=CNM; 4=Other Midwife; 5=Other; 9=Unknown or not stated,Reporting flag 433
284,300,17,FILLER,Filler,,,
301,301,1,DPLURAL,Plurality Recode,"A,S",1=Single; 2=Twin; 3=Triplet; 4=Quadruplet or higher,
302,302,1,FILLER,Filler,,,
303,303,1,IMP_PLUR,Plurality Imputed,"A,S",Blank=Not imputed; 1=Plurality is imputed,
304,315,12,FILLER,Filler,,,
316,316,1,SEX,Sex of Infant,"A,S",M=Male; F=Female,
317,317,1,IMP_SEX,Sex Imputed,"A,S",Blank=Not imputed; 1=Sex is imputed,Only where gestation >=20 weeks
318,319,2,DLMP_MM,Last Normal Menses Month,"A,S",01-12=Month; 99=Unknown or not stated,Reporting flag 429
320,321,2,FILLER,Filler,,,
322,325,4,DLMP_YY,Last Normal Menses Year,"A,S",nnnn=Year; 9999=Unknown or not stated,Reporting flag 431
326,328,3,FILLER,Filler,,,
329,329,1,GEST_IMP,Gestation Imputed Flag,"A,S",Blank=Not imputed; 1=Gestation is imputed,
330,330,1,OBGEST_FLG,Obstetric Estimate of Gestation Used Flag,"A,S",Blank=Obstetric estimate not used; 1=Obstetric estimate is used,
331,332,2,COMBGEST,Gestation - Detail in Weeks,"A,S",02-47=Weeks of gestation; 99=Unknown,Reporting flag 404
333,334,2,GESTREC12,Gestation Recode 12,"A,S",01=Under 16 wks; 02=16-19; 03=20-23; 04=24-27; 05=28-31; 06=32-33; 07=34-36; 08=37-38; 09=39-40; 10=41; 11=42+; 12=Unknown,Reporting flag 404
335,335,1,GESTREC5,Gestation Recode 5,"A,S",1=Under 20 wks; 2=20-23; 3=24-27; 4=28+; 5=Unknown,Reporting flag 404
336,337,2,OEGest_Unedt,Obstetric Gestation (unedited),"A,S",00-98=Weeks (revised); 02-47=Weeks (unrevised); 99=Unknown or not stated,Reporting flag 373
338,338,1,FILLER,Filler,,,
339,339,1,COMBGEST_USED,Combined Gestation Used Flag,"A,S",Blank=Combined gestation not used; 1=Combined gestation used,
340,341,2,OEGest_Comb,Obstetric Estimate Edited (NCHS Standard item),"A,S",02-47=Weeks of gestation; 99=Not stated,Reporting flag 373
342,343,2,OEGest_R12,Obstetric Estimate Recode12 (NCHS Standard item),"A,S",01=Under 16 wks; 02=16-19; 03=20-23; 04=24-27; 05=28-31; 06=32-33; 07=34-36; 08=37-38; 09=39-40; 10=41; 11=42+; 12=Unknown,Reporting flag 373
344,344,1,OEGest_R5,Obstetric Estimate Recode 5 (NCHS Standard item),"A,S",1=Under 20 wks; 2=20-23; 3=24-27; 4=28+; 5=Unknown,Reporting flag 373
345,348,4,FILLER,Filler,,,
349,352,4,DBWT,Birth Weight - Detail in Grams,"A,S",0001-8165=Number of grams; 9999=Not stated birth weight,Reporting flag 442
353,354,2,BWTR14,Birth Weight Recode 14,"A,S",01=<=249g; 02=250-349; 03=350-499; 04=500-999; 05=1000-1499; 06=1500-1999; 07=2000-2499; 08=2500-2999; 09=3000-3499; 10=3500-3999; 11=4000-4499; 12=4500-4999; 13=5000-8165; 14=Unknown,Reporting flag 442
355,355,1,BWTR4,Birth Weight Recode 4,"A,S",1=<=1499g; 2=1500-2499; 3=2500-8165; 4=Unknown or not stated,Reporting flag 442
356,356,1,FILLER,Filler,,,
357,357,1,ESTOFD,Estimated Time of Fetal Death,A,"N=At assessment, no labor; L=At assessment, labor; A=Labor, no assessment; U=Unknown",Reporting flag 435
358,358,1,AUTOPSY,Was Autopsy Performed?,A,Y=Yes; N=No; P=Planned,Reporting flag 436
359,359,1,HISTOPF,Was Histological Placental Exam Performed?,A,Y=Yes; N=No; P=Planned,Reporting flag 437
360,360,1,AUTOPF,Was Autopsy/Histological Results Used in Cause?,A,Y=Yes; N=No; X=Not applicable,Reporting flag 438
361,371,11,FILLER,Filler,,,
372,372,1,F_MEDUC,Flag: Education of Mother,A,0=Not reporting; 1=Reporting,
373,373,1,F_CLINEST,Flag: Obstetric Estimate of Gestation,"A,S",0=Not reporting; 1=Reporting,
374,374,1,F_TOBACO,Flag: Tobacco Use,A,0=Not reporting; 1=Reporting,
375,375,1,F_M_HT,Flag: Mother's Height,A,0=Not reporting; 1=Reporting,
376,376,1,F_PWGT,Flag: Prepregnancy Weight,A,0=Not reporting; 1=Reporting,
377,377,1,F_WIC,Flag: WIC,A,0=Not reporting; 1=Reporting,
378,378,1,F_RF_PDIAB,Flag: Prepregnancy Diabetes,A,0=Not reporting; 1=Reporting,
379,379,1,F_RF_GDIAB,Flag: Gestational Diabetes,A,0=Not reporting; 1=Reporting,
380,380,1,F_RF_PHYPER,Flag: Prepregnancy Hypertension,A,0=Not reporting; 1=Reporting,
381,381,1,F_RF_GHYPER,Flag: Gestational Hypertension,A,0=Not reporting; 1=Reporting,
382,382,1,F_RF_ECLAMP,Flag: Hypertension Eclampsia,A,0=Not reporting; 1=Reporting,
383,383,1,F_RF_INFT,Flag: Infertility Treatment,A,0=Not reporting; 1=Reporting,
384,384,1,F_RF_INFT_DRG,Flag: Fertility Enhancing Drugs,A,0=Not reporting; 1=Reporting,
385,385,1,F_RF_INFT_ART,Flag: Reproductive Technology,A,0=Not reporting; 1=Reporting,
386,386,1,F_RF_CESAR,Flag: Previous Cesarean,A,0=Not reporting; 1=Reporting,
387,387,1,F_RF_NCESAR,Flag: Number of Previous Cesareans,A,0=Not reporting; 1=Reporting,
388,388,1,F_MD_PRESENT,Flag: Fetal Presentation,A,0=Not reporting; 1=Reporting,
389,389,1,F_MD_ROUTE,Flag: Final Route and Method of Delivery,A,0=Not reporting; 1=Reporting,
390,390,1,F_MD_TRIAL,Flag: Trial of Labor Attempted,A,0=Not reporting; 1=Reporting,
391,391,1,F_MM_RUPTUR,Flag: Ruptured Uterus,A,0=Not reporting; 1=Reporting,
392,392,1,F_MM_ICU,Flag: Admission to Intensive Care,A,0=Not reporting; 1=Reporting,
393,402,10,FILLER,Filler,,,
403,403,1,F_MPCB,Flag: Month Prenatal Care Began,A,0=Not reporting; 1=Reporting,
404,404,1,F_CMBGST,Flag: Combined Gestation,"A,S",0=Not reporting; 1=Reporting,
405,405,1,F_CIGS_0,Flag: Cigarettes Before Pregnancy,A,0=Not reporting; 1=Reporting,
406,406,1,F_CIGS_1,Flag: Cigarettes 1st Trimester,A,0=Not reporting; 1=Reporting,
407,407,1,F_CIGS_2,Flag: Cigarettes 2nd Trimester,A,0=Not reporting; 1=Reporting,
408,408,1,F_CIGS_3,Flag: Cigarettes 3rd Trimester,A,0=Not reporting; 1=Reporting,
409,409,1,F_FACILITY,Flag: Facility,A,0=Not reporting; 1=Reporting,
410,410,1,DelMethRecF,Flag: Delivery Method Recode,"A,S",0=Not reporting; 1=Reporting,
411,423,13,FILLER,Filler,,,
424,424,1,F_MORIGIN,Flag: Mother's Hispanic Origin,"A,S",0=Not reporting; 1=Reporting,
425,425,1,F_MRACE_R,Flag: Mother's Race (Revised),A,0=Not reporting; 1=Reporting,
426,426,1,F_FAGE_u,Flag: Father's Age,"A,S",0=Not reporting; 1=Reporting,
427,427,1,F_DLLB_MM,Flag: Last Live Birth Month (Revised),A,0=Not reporting; 1=Reporting,
428,428,1,FILLER,Filler,,,
429,429,1,F_DLMP_MM,Flag: Last Normal Menses Month,"A,S",0=Not reporting; 1=Reporting,
430,430,1,FILLER,Filler,,,
431,431,1,F_DLMP_YY,Flag: Last Normal Menses Year,"A,S",0=Not reporting; 1=Reporting,
432,432,1,F_MAGE,Flag: Mother's Age,"A,S",0=Not reporting; 1=Reporting,
433,433,1,F_ATTENDANT,Flag: Attendant,"A,S",0=Not reporting; 1=Reporting,
434,434,1,FILLER,Filler,,,
435,435,1,F_ESTOFD,Flag: Estimated Time of Fetal Death (Revised),A,0=Not reporting; 1=Reporting,
436,436,1,F_AUTOPSY,Flag: Autopsy (Revised),A,0=Not reporting; 1=Reporting,
437,437,1,F_HISTOPF,Flag: Histological Placental Exam (Revised),A,0=Not reporting; 1=Reporting,
438,438,1,F_AUTOPF,Flag: Autopsy/Histological Exam Used in Cause,A,0=Not reporting; 1=Reporting,
439,439,1,F_MRACEREC,Flag: Mother's Bridged Race Recode,"A,S",0=Not reporting; 1=Reporting,
440,440,1,F_PLBL,Flag: Number of Previous Live Births Living,"A,S",0=Not reporting; 1=Reporting,
441,441,1,F_PLBD,Flag: Number of Previous Live Births Dead,"A,S",0=Not reporting; 1=Reporting,
442,442,1,F_DBWT,Flag: Birthweight,"A,S",0=Not reporting; 1=Reporting,
443,444,2,FILLER,Filler,,,
445,445,1,F_BMI,Flag: Body Mass Index,A,0=Not reporting; 1=Reporting,
446,2602,2157,FILLER,Filler,,,Large filler block. PDF says 2164 length but 2602-446+1=2157
2603,2607,5,IICOD,Initiating Cause or Condition Code,A,ICD10 Code; Blank=None reported,Reporting flag 2651
2608,2642,35,FILLER,Filler (Coded Causes area),,,
2643,2645,3,IC_124_Fetal,Initiating Fetal Recode 124,A,001-124,Reporting flag 2651
2646,2650,5,FILLER,Filler,,,
2651,2651,1,F_ICOD,Flag: Init Cause or Condition,A,0=Not reporting; 1=Reporting,
2652,2652,1,FILLER,Filler (end of record),,,Record ends at position 2652
