position_start,position_end,length,field_name,description,version,values_summary,notes
35,35,1,STSUBRES,State Subcode of Residence,1978,1-9 within Division,"V2 has STSUBRES @ 30."
36,37,2,STRESEXP,Expanded State of Residence,1978,00=Foreign; 01-52 (NYC=34),"V2 has STRESEXP @ 31-32 (same concept)."
38,40,3,SMSARES,NCHS Standard Metropolitan Statistical Area,1978,000=Nonmetro; 001-305=305 SMSAs; 222=Foreign,"V2 has S14SARES @ 357-359 (NCHS PMSA/MSA; semantically equivalent; very different byte position)."
41,46,6,RESERVED_41_46,Reserved Positions,1978,blank,Filler per user-guide p14.
47,48,2,LMPMON,Month of Last Menstrual Period,1978,01-12 (Jan-Dec); 99=Not stated,"V2 has LMPMON @ 121-122."
49,50,2,LMPDAY,Day of Last Menstrual Period,1978,01-31 as applicable; 99=Not stated,"V2 has LMPDAY @ 123-124."
51,51,1,LMPYR,Year of LMP (single-digit relative),1978,1=Current data year; 2=Previous data year; 3=Not stated,"V3b 1978-rev encodes LMP year as a 1-byte RELATIVE code (compute absolute year by subtracting 1 from DATAYEAR if 2). V2 has LMPYR @ 125-128 (4-byte absolute year). Harmonize.py must convert relative→absolute for V3b."
52,53,2,DELMON,Month of Delivery,1978,01-12 (Jan-Dec),"V2 has DELMON @ 186-187. Year of delivery is in DATAYEAR @ 1-2."
54,55,2,DELDAY,Day of Delivery,1978,01-31 as applicable; 99=Not stated,V2 does not have a separate DELDAY field at this position; V3b 1978-rev exposes it.
56,56,1,PLDEL,Place of Delivery,1978,1=Hospital; 2=Nonhospital; 3=Enroute or on arrival; 9=Not classifiable,"V2 has PLDEL @ 8; same coding; different byte position."
57,57,1,RESERVED_57,Reserved Position,1978,blank,
58,59,2,MONPRE,Detail Month of Pregnancy Prenatal Care Began,1978,"00=No prenatal care; 01-09=1st-9th month; 99=Not stated","V2 has MONPRE @ 113-114."
60,60,1,MPRE6,Month Prenatal Care Began Recode 6,1978,1=1st-2nd month; 2=3rd month; 3=4th-6th month; 4=7th-9th month; 5=No prenatal care; 6=Not stated,"V2 has MPRE6 @ 115."
61,62,2,NPREVIST,Total Number of Prenatal Visits,1978,00=No visits; 01-49=Stated; 99=Not stated,"V2 has NPREVIST @ 117-118."
63,63,1,NPREV9,Number of Prenatal Visits Recode 9,1978,"1=No visits; 2=1-2; 3=3-4; 4=5-6; 5=7-8; 6=9-10; 7=11-12; 8=13+; 9=Not stated","V2 has NPREV12 @ 119-120 (recode 12). V3b has recode 9 (fewer bins). Different recode size."
64,64,1,FSEX,Sex of Fetus,1978,1=Male; 2=Female; 9=Not stated,"V2 has FSEX @ 203; same coding; very different byte position."
65,65,1,RACEF,Detail Race of Fetus,1978,"0=Other API; 1=White; 2=Black; 3=AIAN; 4=Chinese; 5=Japanese; 6=Hawaiian; 7=Other nonwhite; 8=Filipino","V2 has RACEF @ 204-205 (2-byte). V3b/1978-rev uses 1-digit codes 0-8 (no ""9=Not stated"" since fetus race is inferred from parents). Harmonize.py B3-equivalent recode needs 1-digit-to-bridged mapping; documented in V3b_1982_1988_LAYOUT_DECISIONS.md at DO step 10."
66,66,1,RACEF3,Race Recode 3 (fetus),1978,1=White; 2=Other than White or Black; 3=Black,"V2 has FRACE3 @ 206 (same coding)."
67,67,1,RACEF2,Race Recode 2 (fetus),1978,1=White; 2=All other,"V3b-only collapsed-2-cat race recode for fetus."
68,68,1,NUMDEL,Number at Delivery,1978,1=Single; 2=Twin; 3=Triplet or higher,"V2 has DPLURAL @ 215; same concept different position and name."
69,72,4,DBIRWT,Birthweight - Detail in Grams,1978,0227-8165 grams; 9999=Not stated,"V2 has DBIRWT @ 207-210."
73,74,2,BIRWT14,Birthweight Recode 14,1978,"01=<=249g; 02=250-349; 03=350-499; 04=500-999; 05=1000-1499; 06=1500-1999; 07=2000-2499; 08=2500-2999; 09=3000-3499; 10=3500-3999; 11=4000-4499; 12=4500-4999; 13=5000-8165; 14=Not stated","V2 has BIRWT14 @ 211-212."
75,75,1,BIRWT3,Birthweight Recode 3,1978,1=<=2499g; 2=>=2500g; 3=Not stated,"V3b has 3-cat birthweight recode. V2 has BIRWT4 @ 213 (4-cat). Different recode size."
76,77,2,DGESTAT,Detail Gestation in Weeks (Combined),1978,01-52 weeks; 99=Not stated,"V2 has DGESTAT @ 197-198. NB: 76-80 umbrella ""Combined Gestation"" = either computed (if code 01-52) OR physician's estimate fallback."
78,79,2,GESTAT12,Gestation Recode 12,1978,"01=<16wk; 02=16-19; 03=20-23; 04=24-27; 05=28-31; 06=32-35; 07=36; 08=37-39; 09=40; 10=41; 11=42+; 12=Not stated","V2 has GESTAT12 @ 199-200."
80,80,1,GESTAT5,Gestation Recode 5,1978,1=<20wk; 2=20-23; 3=24-27; 4=28+; 5=Not stated,"V2 has GESTAT5 @ 201."
81,82,2,DMAGE,Detail Age of Mother (single year),1978,10-49 years,"V2 has DMAGE @ 71-72. V3b/1978-rev places single-year mother age at 81-82 (within the 81-85 ""AGE"" umbrella). NB: no sentinel 99 documented at user-guide p18 — value-distribution check at DO step 8 will surface whether 99 records exist."
83,84,2,MAGE12,Age of Mother Recode 12,1978,"01=<15; 02=15; 03=16; 04=17; 05=18; 06=19; 07=20-24; 08=25-29; 09=30-34; 10=35-39; 11=40-44; 12=45-49","V2 has MAGE12 @ 73-74. SAME bins as V2; different byte position."
85,85,1,MAGE8,Age of Mother Recode 8,1978,1=<15; 2=15-19; 3=20-24; 4=25-29; 5=30-34; 6=35-39; 7=40-44; 8=45-49,"V2 has MAGE8 @ 75 (same coding)."
86,86,1,MRACE,Detail Race of Mother,1978,"0=Other API; 1=White; 2=Black; 3=AIAN; 4=Chinese; 5=Japanese; 6=Hawaiian; 7=Other nonwhite; 8=Filipino; 9=Not stated","V2 has MRACE @ 79-80 (2-digit). V3b/1978-rev uses 1-digit 0-9 scheme. **B3 maternal_race_bridged recode requires extension**: see DO step 4. Codes 0,4,5,6,8 -> 4 (API); 1->1; 2->2; 3->3; 7->null (Other nonwhite residual); 9->null (Not stated). The 7=null choice parallels V3a's 09->null decision (2026-05-12T14:30Z)."
87,87,1,DMAR,Marital Status of Mother,1978,1=Married; 2=Unmarried; 9=Not stated,"V2 has DMAR @ 86. Same coding; different byte position."
88,89,2,DMEDUC,Detail Education of Mother,1978,"00=No formal; 01-08=Elementary years; 09-12=High school years; 13-17=College years; 99=Not stated","V2 has DMEDUC @ 82-83."
90,90,1,MEDUC6,Mother's Education Recode 6,1978,"1=0-8yr; 2=9-11; 3=12; 4=13-15; 5=16+; 6=Not stated","V2 has MEDUC6 @ 84."
91,92,2,NLBNL,Number of Children Born Alive Now Living,1978,00-50; 99=Unknown/not classifiable,"V2 has NLBNL @ 98-99 (same concept; different position)."
93,94,2,NLBND,Number of Children Born Alive Now Dead,1978,00-50; 99=Unknown/not classifiable,"V2 has NLBND @ 100-101."
95,96,2,NBD,Number of Children Born Dead (fetal deaths),1978,00-50; 99=Unknown/not classifiable,"V3b-specific (V2 doesn't break out born-dead separately at this granularity)."
97,98,2,NOTBEF20,Other Terminations Before 20 Weeks,1978,"00-50; 88=Not applicable (item not on reporting form); 99=Unknown",V3b-specific.
99,100,2,NOTAFT20,Other Terminations 20 Weeks and After,1978,"00-50; 88=Not applicable; 99=Unknown",V3b-specific.
101,102,2,DTOTORD,Detail Total Birth Order,1978,01-50; 99=Unknown,"V2 has DTOTORD @ 109-110."
103,103,1,TOTORD9,Total Birth Order Recode 9,1978,1=First through 8=Eighth+; 9=Unknown,"V2 has TOTORD9 @ 111."
104,105,2,DLIVORD,Detail Live Birth Order,1978,00-50; 99=Unknown,"V2 has DLIVORD @ 105-106."
106,106,1,LIVORD10,Live Birth Order Recode 10,1978,0=No children; 1=First through 8=Eighth+; 9=Not stated,"V2 has LIVORD9 @ 107 (9-cat). V3b has 10-cat (adds 0=No children). Different recode size."
107,108,2,DFAGE,Detail Age of Father,1978,10-98 years; 99=Not stated,"V2 has DFAGE @ 161-162."
109,110,2,FAGE12,Age of Father Recode 12,1978,"01=<15; 02=15-19; 03=20-24; 04=25-29; 05=30-34; 06=35-39; 07=40-44; 08=45-49; 09=50-54; 10=55-59; 11=60-98; 12=Not stated","V2 has FAGE11 @ 163-164 (11-cat). V3b has 12-cat; different recode size."
111,111,1,FRACE,Detail Race of Father,1978,"0=Other API; 1=White; 2=Black; 3=AIAN; 4=Chinese; 5=Japanese; 6=Hawaiian; 7=Other nonwhite; 8=Filipino; 9=Not stated","V2 has FRACE @ 167-168 (2-digit). V3b uses 1-digit; same recode-extension logic as MRACE @ 86."
112,113,2,DFEDUC,Detail Education of Father,1978,"00=No formal; 01-08=Elementary; 09-12=HS; 13-17=College; 99=Not stated","V2 has DFEDUC @ 170-171."
114,114,1,FEDUC6,Father's Education Recode 6,1978,"1=0-8yr; 2=9-11; 3=12; 4=13-15; 5=16+; 6=Not stated","V2 has FEDUC6 @ 172."
115,116,2,CLINGEST,Physician's Estimate of Gestation,1978,01-52 weeks; 99=Not stated,"V2 has CLINGEST @ 216-217 (same concept different position)."
117,118,2,COMPGEST,Computed Gestation,1978,01-52 weeks; 99=Not stated,V3b exposes computed-vs-physician-estimate gestation separately; V2 has DGESTAT (combined) at 197-198 with separate CLINGEST.
119,119,1,CONGEN,Congenital Malformation (any reported),1978,0=None reported; 1=Any reported,"V2 has 22 individual congenital-anomaly flags @ 279-300 (ANEN/SPINA/etc). V3b/1978-rev has only the umbrella flag (no individual anomaly fields). Cannot harmonize to V2's 22-field detail; harmonize.py maps to a single ""any congenital"" flag for V3b."
120,122,3,RESERVED_120_122,Reserved Positions,1978,blank,
123,123,1,RF_GESTALL,Residence Reporting Flag: All Periods of Gestation,1978,0=Not reported; 1=Reported,"V2 has GESTALL @ 315 (same concept)."
124,124,1,RF_MARBC,Residence Reporting Flag: Marital Status on Birth Certificate,1978,0=Not reported; 1=Reported,
125,125,1,RF_EDUC,Residence Reporting Flag: Education of Parents,1978,0=Not reported; 1=Reported,"V2 has EDUCM @ 318 and EDUCF @ 319 (mother/father separately). V3b combines into one flag."
126,126,1,RF_LMP,Residence Reporting Flag: Date of LMP,1978,0=Not reported; 1=Reported,"V2 has DATELMP @ 322."
127,127,1,RF_MARFD,Residence Reporting Flag: Marital Status on Fetal Death Form,1978,0=Not reported; 1=Reported,"V2 has DMARF @ 321 (closest equivalent)."
128,128,1,RF_MONPNC,Residence Reporting Flag: Month Prenatal Care Began,1978,0=Not reported; 1=Reported,"V2 has PNCF @ 323."
129,129,1,RF_NPNC,Residence Reporting Flag: Number of Prenatal Visits,1978,0=Not reported; 1=Reported,"V2 has PNVF @ 324."
130,130,1,RF_CLINGEST,Residence Reporting Flag: Physician's Estimate of Gestation,1978,0=Not reported; 1=Reported,"V2 has GESTE @ 325."
131,131,1,RF_CONGEN,Residence Reporting Flag: Congenital Malformations,1978,0=Not reported; 1=Reported,"V2 has CONGAN @ 335."
132,140,9,RESERVED_132_140,Reserved Positions,1978,blank,
141,141,1,OCC_GESTALL,Occurrence Reporting Flag: All Periods of Gestation,1978,0=Not reported; 1=All periods reported,"V2 has ALLGOCC @ 340 (same concept; different byte position)."
142,186,45,RESERVED_142_186,Reserved Positions,1978,blank,Filler block.
187,188,2,STOCCFIP,FIPS State of Occurrence,1978,01-56 (FIPS state codes; gaps at 03/07/14/etc unused FIPS codes),"V2 has STOCCFIP @ 22-23. Same coding; very different byte position."
189,191,3,CNTOCFIP,FIPS County of Occurrence,1978,001-nnn (FIPS county codes within state),"V2 has CNTOCFIP @ 24-26."
192,193,2,STRESFIP,FIPS State of Residence,1978,00=Foreign; 01-56 (FIPS state codes),"V2 has STRESFIP @ 43-44."
194,196,3,CNTRSFIP,FIPS County of Residence,1978,000=Foreign; 001-nnn (FIPS county codes within state),"V2 has CNTYRFIP @ 45-47."
197,200,4,SMSARFIP,FIPS SMSA of Residence,1978,0000=Nonmetro/foreign; 0040-9340 (FIPS SMSA codes),"V2 has SMSARFIP @ 55-58. Same concept different position."
