position_start,position_end,length,field_name,description,version,values_summary,notes
471,472,2,BWTR14,Birth Weight Recode 14,"A,S",01=<=249g; 02=250-349; 03=350-499; 04=500-999; 05=1000-1499; 06=1500-1999; 07=2000-2499; 08=2500-2999; 09=3000-3499; 10=3500-3999; 11=4000-4499; 12=4500-4999; 13=5000-8165; 14=Unknown/not stated,
473,473,1,BWTR4,Birth Weight Recode 4,"A,S",1=<=1499g; 2=1500-2499; 3=2500-8165; 4=Unknown/not stated,Note: PDF shows two codes as 1; likely 1=<=1499; 2=1500-2499
474,491,18,BLANK,Blank filler,,,
492,492,1,CA_ANEN,Anencephaly (Revised),A,Y=Yes; N=No; U=Unknown,Reporting flag at position 635
493,493,1,CA_MNSB,Meningomyelocele/Spina Bifida (Revised),A,Y=Yes; N=No; U=Unknown,Reporting flag at position 636
494,494,1,CA_CCHD,Cyanotic Congenital Heart Disease (Revised),A,Y=Yes; N=No; U=Unknown,Reporting flag at position 637
495,495,1,CA_CDH,Congenital Diaphragmatic Hernia (Revised),A,Y=Yes; N=No; U=Unknown,Reporting flag at position 638
496,496,1,CA_OMPH,Omphalocele (Revised),A,Y=Yes; N=No; U=Unknown,Reporting flag at position 639
497,497,1,CA_GAST,Gastroschisis (Revised),A,Y=Yes; N=No; U=Unknown,Reporting flag at position 640
498,498,1,CA_LIMB,Limb Reduction Defect (Revised),A,Y=Yes; N=No; U=Unknown,Reporting flag at position 641
499,499,1,CA_CLEFT,Cleft Lip with/without Cleft Palate (Revised),A,Y=Yes; N=No; U=Unknown,Reporting flag at position 642
500,500,1,CA_CLPAL,Cleft Palate Alone (Revised),A,Y=Yes; N=No; U=Unknown,Reporting flag at position 643
501,501,1,CA_DOWN,Down Syndrome (Revised),A,C=Confirmed; P=Pending; N=No; U=Unknown,Reporting flag at position 644
502,502,1,CA_DISOR,Suspected Chromosomal Disorder (Revised),A,C=Confirmed; P=Pending; N=No; U=Unknown,Reporting flag at position 645
503,503,1,CA_HYPO,Hypospadias (Revised),A,Y=Yes; N=No; U=Unknown,Reporting flag at position 646
504,504,1,UCA_ANEN,Anencephalus (Unrevised),"A,S",1=Reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable,Reporting flag at position 752
505,505,1,UCA_SPINA,Spina Bifida/Meningocele (Unrevised),"A,S",1=Reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable,Reporting flag at position 753
506,512,7,BLANK,Blank filler,,,
513,513,1,UCA_OMPHA,Omphalocele/Gastroschisis (Unrevised),"A,S",1=Reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable,Reporting flag at position 761
514,517,4,BLANK,Blank filler,,,
518,518,1,UCA_CLEFTLP,Cleft Lip/Palate (Unrevised),"A,S",1=Reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable,Reporting flag at position 766
519,522,4,BLANK,Blank filler,,,
523,523,1,UCA_DOWNS,Down Syndrome (Unrevised),"A,S",1=Reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable,Reporting flag at position 771
524,568,45,BLANK,Blank filler,,,
569,569,1,F_MORIGIN,Mother's Hispanic Origin Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
570,570,1,BLANK,Blank filler,,,
571,571,1,F_MEDUC,Education of Mother Flag (Revised),A,0=Not reporting; 1=Reporting,Reporting flag
572,572,1,BLANK,Blank filler,,,
573,573,1,F_CLINEST,Obstetric Estimate of Gestation Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
574,574,1,BLANK,Blank filler,,,
575,575,1,F_TOBACO,Tobacco Use Flag (Revised),A,0=Not reporting; 1=Reporting,Reporting flag
576,581,6,BLANK,Blank filler,,,
582,582,1,F_RF_PDIAB,Prepregnancy Diabetes Flag,A,0=Not reporting; 1=Reporting,Reporting flag
583,583,1,F_RF_GDIAB,Gestational Diabetes Flag,A,0=Not reporting; 1=Reporting,Reporting flag
584,584,1,F_RF_PHYPER,Prepregnancy Hypertension Flag,A,0=Not reporting; 1=Reporting,Reporting flag
585,585,1,F_RF_GHYPER,Gestational Hypertension Flag,A,0=Not reporting; 1=Reporting,Reporting flag
586,586,1,F_RF_ECLAMP,Hypertension Eclampsia Flag,A,0=Not reporting; 1=Reporting,Reporting flag
587,587,1,F_RF_PPB,Previous Preterm Birth Flag,A,0=Not reporting; 1=Reporting,Reporting flag
588,588,1,F_RF_PPO,Poor Pregnancy Outcomes Flag,A,0=Not reporting; 1=Reporting,Reporting flag
589,592,4,BLANK,Blank filler,,,
593,593,1,F_RF_CESAR,Previous Cesarean Flag,A,0=Not reporting; 1=Reporting,Reporting flag
594,594,1,F_RF_NCESAR,Number of Previous Cesareans Flag,A,0=Not reporting; 1=Reporting,Reporting flag
595,618,24,BLANK,Blank filler,,,
619,619,1,F_MD_PRESENT,Fetal Presentation Flag,A,0=Not reporting; 1=Reporting,Reporting flag
620,620,1,F_MD_ROUTE,Final Route and Method of Delivery Flag,A,0=Not reporting; 1=Reporting,Reporting flag
621,621,1,F_MD_TRIAL,Trial of Labor Attempted Flag,A,0=Not reporting; 1=Reporting,Reporting flag
622,634,13,BLANK,Blank filler,,,
635,635,1,F_CA_ANEN,Anencephaly Flag,A,0=Not reporting; 1=Reporting,Reporting flag
636,636,1,F_CA_MENIN,Meningomyelocele/Spina Bifida Flag,A,0=Not reporting; 1=Reporting,Reporting flag
637,637,1,F_CA_HEART,Cyanotic Congenital Heart Disease Flag,A,0=Not reporting; 1=Reporting,Reporting flag
638,638,1,F_CA_HERNIA,Congenital Diaphragmatic Hernia Flag,A,0=Not reporting; 1=Reporting,Reporting flag
639,639,1,F_CA_OMPHA,Omphalocele Flag,A,0=Not reporting; 1=Reporting,Reporting flag
640,640,1,F_CA_GASTRO,Gastroschisis Flag,A,0=Not reporting; 1=Reporting,Reporting flag
641,641,1,F_CA_LIMB,Limb Reduction Defect Flag,A,0=Not reporting; 1=Reporting,Reporting flag
642,642,1,F_CA_CLEFTLP,Cleft Lip with/without Cleft Palate Flag,A,0=Not reporting; 1=Reporting,Reporting flag
643,643,1,F_CA_CLEFT,Cleft Palate Alone Flag,A,0=Not reporting; 1=Reporting,Reporting flag
644,644,1,F_CA_DOWNS,Down Syndrome Flag,A,0=Not reporting; 1=Reporting,Reporting flag
645,645,1,F_CA_CHROM,Suspected Chromosomal Disorder Flag,A,0=Not reporting; 1=Reporting,Reporting flag
646,646,1,F_CA_HYPOS,Hypospadias Flag,A,0=Not reporting; 1=Reporting,Reporting flag
647,647,1,F_MED,Mother's Education Flag (Unrevised),S,0=Not reporting; 1=Reporting,Reporting flag
648,648,1,F_WTGAIN,Weight Gain Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
649,666,18,BLANK,Blank filler,,,
667,667,1,F_TOBAC,Tobacco Use Flag (Unrevised),S,0=Not reporting; 1=Reporting,Reporting flag
668,668,1,F_MPCB,Month Prenatal Care Began Flag,A,0=Not reporting; 1=Reporting,Reporting flag
669,669,1,BLANK,Blank filler,,,
670,670,1,F_CMBGST,Combined Gestation Flag,A,0=Not reporting; 1=Reporting,Reporting flag
671,671,1,F_TPCV,Total Prenatal Care Visits Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
672,672,1,BLANK,Blank filler,,,
673,673,1,F_CIGS_1,Cigarettes 1st Trimester Flag,A,0=Not reporting; 1=Reporting,Reporting flag
674,674,1,F_CIGS_2,Cigarettes 2nd Trimester Flag,A,0=Not reporting; 1=Reporting,Reporting flag
675,675,1,F_CIGS_3,Cigarettes 3rd Trimester Flag,A,0=Not reporting; 1=Reporting,Reporting flag
676,676,1,F_FACILITY,Facility Flag,A,0=Not reporting; 1=Reporting,Reporting flag
677,677,1,BLANK,Blank filler,,,
678,678,1,DelMethRecF,Delivery Method Recode Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
679,683,5,BLANK,Blank filler,,,
684,684,1,F_URF_DIABETES,Diabetes Flag (Unrevised),"A,S",0=Not reporting; 1=Reporting,Reporting flag
685,687,3,BLANK,Blank filler,,,
688,688,1,F_URF_CHYPER,Chronic Hypertension Flag (Unrevised),"A,S",0=Not reporting; 1=Reporting,Reporting flag
689,689,1,F_URF_PHYPER,Pregnancy Hypertension Flag (Unrevised),"A,S",0=Not reporting; 1=Reporting,Reporting flag
690,690,1,F_URF_ECLAMP,Eclampsia Flag (Unrevised),"A,S",0=Not reporting; 1=Reporting,Reporting flag
691,702,12,BLANK,Blank filler,,,
703,703,1,F_UOB_INDUCT,Induction Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
704,704,1,BLANK,Blank filler,,,
705,705,1,F_UOB_TOCOL,Tocolysis Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
706,720,15,BLANK,Blank filler,,,
721,721,1,F_ULD_BREECH,Breech Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
722,729,8,BLANK,Blank filler,,,
730,730,1,F_U_VAGINAL,Vaginal Flag (Unrevised),S,0=Not reporting; 1=Reporting,Reporting flag
731,731,1,F_U_VBAC,VBAC Flag (Unrevised),S,0=Not reporting; 1=Reporting,Reporting flag
732,732,1,F_U_PRIMAC,Primary C-Section Flag (Unrevised),S,0=Not reporting; 1=Reporting,Reporting flag
733,733,1,F_U_REPEAC,Repeat C-Section Flag (Unrevised),S,0=Not reporting; 1=Reporting,Reporting flag
734,734,1,F_U_FORCEP,Forceps Flag (Unrevised),S,0=Not reporting; 1=Reporting,Reporting flag
735,735,1,F_U_VACUUM,Vacuum Flag (Unrevised),S,0=Not reporting; 1=Reporting,Reporting flag
736,751,16,BLANK,Blank filler,,,
752,752,1,F_UCA_ANEN,Anencephalus Flag (Unrevised),"A,S",0=Not reporting; 1=Reporting,Reporting flag
753,753,1,F_UCA_SPINA,Spina Bifida Flag (Unrevised),"A,S",0=Not reporting; 1=Reporting,Reporting flag
754,760,7,BLANK,Blank filler,,,
761,761,1,F_UCA_OMPHALO,Omphalocele Flag (Unrevised),"A,S",0=Not reporting; 1=Reporting,Reporting flag
762,765,4,BLANK,Blank filler,,,
766,766,1,F_UCA_CLEFTLP,Cleft Lip Flag (Unrevised),"A,S",0=Not reporting; 1=Reporting,Reporting flag
767,770,4,BLANK,Blank filler,,,
771,771,1,F_UCA_DOWNS,Down Syndrome Flag (Unrevised),"A,S",0=Not reporting; 1=Reporting,Reporting flag
772,779,8,BLANK,Blank filler,,,
780,780,1,F_MS_u,Mother's Marital Status Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
781,793,13,BLANK,Blank filler,,,
794,794,1,F_CIG_DAY_u,Cigarettes per Day Flag (Unrevised),S,0=Not reporting; 1=Reporting,Reporting flag
795,795,1,F_NPREV,Number of Prenatal Visits Flag,A,0=Not reporting; 1=Reporting,Reporting flag
796,796,1,BLANK,Blank filler,,,
