position_start,position_end,length,field_name,description,version,values_summary,notes
179,180,2,FAGEREC11,Father's Age Recode 11,"A,S",01=Under 15; 02=15-19; 03=20-24; 04=25-29; 05=30-34; 06=35-39; 07=40-44; 08=45-49; 09=50-54; 10=55-98; 11=Not stated,Reporting flag at 426
181,182,2,PRIORLIVE,Prior Births Now Living,"A,S",00-30=Number of children still living; 99=Unknown or not stated,
183,184,2,PRIORDEAD,Prior Births Now Dead,"A,S",00-30=Number of children dead; 99=Unknown or not stated,
185,186,2,FILLER,Filler,,,
187,187,1,LBO_REC,Live Birth Order Recode,"A,S",0-7=Number; 8=8 or more; 9=Unknown or not stated,
188,196,9,FILLER,Filler,,,
197,199,3,ILLB_R,Interval Since Last Live Birth Recode,A,000-003=Plural delivery; 004-300=Months since last live birth; 888=Not applicable; 999=Unknown,Reporting flag at 427
200,201,2,ILLB_R11,Interval Since Last Live Birth Recode 11,A,00=0-3 months (plural); 01=4-11; 02=12-17; 03=18-23; 04=24-35; 05=36-47; 06=48-59; 07=60-71; 08=72+; 88=N/A; 99=Unknown,Reporting flag at 427
202,203,2,PRECARE,Month Prenatal Care Began (Revised),A,00=No prenatal care; 01-10=Month; 99=Unknown or not stated,Reporting flag at 403
204,204,1,PRECARE_REC,Month Prenatal Care Began Recode (Revised),A,1=1st-3rd month; 2=4th-6th month; 3=7th to final month; 4=No prenatal care; 5=Unknown or not stated,Reporting flag at 403
205,228,24,FILLER,Filler,,,
229,229,1,WIC,WIC,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag at 377
230,231,2,CIG_0,Cigarettes Before Pregnancy,A,00-97=Number daily; 98=98 or more; 99=Unknown or not stated,Reporting flag at 405
232,233,2,CIG_1,Cigarettes 1st Trimester,A,00-97=Number daily; 98=98 or more; 99=Unknown or not stated,Reporting flag at 406
234,235,2,CIG_2,Cigarettes 2nd Trimester,A,00-97=Number daily; 98=98 or more; 99=Unknown or not stated,Reporting flag at 407
236,237,2,CIG_3,Cigarettes 3rd Trimester,A,00-97=Number daily; 98=98 or more; 99=Unknown or not stated,Reporting flag at 408
238,238,1,CIG_REC,Cigarette Recode (Revised),A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag at 374
239,242,4,FILLER,Filler,,,
243,244,2,M_Ht_In,Mother's Height in Inches,A,30-78=Height in inches; 99=Unknown or not stated,Reporting flag at 375
245,248,4,BMI,BMI (prepregnancy),A,13.0-69.9=Body Mass Index; 99.9=Unknown or not stated,Reporting flag at 375
249,249,1,BMI_R,Body Mass Index Recode (prepregnancy),A,1=Underweight <18.5; 2=Normal 18.5-24.9; 3=Overweight 25.0-29.9; 4=Obesity I 30.0-34.9; 5=Obesity II 35.0-39.9; 6=Extreme Obesity III >=40.0; 9=Unknown,Reporting flag at 375
250,252,3,FILLER,Filler,,,
253,255,3,PWgt_R,Prepregnancy Weight Recode,A,075-375=Weight in pounds; 999=Unknown or not stated,Reporting flag at 376
256,256,1,FILLER,Filler,,,
257,257,1,RF_DIAB,Prepregnancy Diabetes,A,Y=Yes; N=No; U=Unknown or not stated,Risk factor (Revised); reporting flag at 378
258,258,1,RF_GEST,Gestational Diabetes,A,Y=Yes; N=No; U=Unknown or not stated,Risk factor (Revised); reporting flag at 379
259,259,1,RF_PHYP,Prepregnancy Hypertension,A,Y=Yes; N=No; U=Unknown or not stated,Risk factor (Revised); reporting flag at 380
260,260,1,RF_GHYP,Gestational Hypertension,A,Y=Yes; N=No; U=Unknown or not stated,Risk factor (Revised); reporting flag at 381
261,261,1,RF_ECLAM,Hypertension Eclampsia,A,Y=Yes; N=No; U=Unknown or not stated,Risk factor (Revised); reporting flag at 382
262,262,1,RF_INFTR,Infertility Treatment,A,Y=Yes; N=No; U=Unknown or not stated,Risk factor (Revised); reporting flag at 383
263,263,1,RF_FEDRG,Fertility Enhancing Drugs,A,Y=Yes; N=No; X=Not applicable; U=Unknown or not stated,Reporting flag at 384
264,264,1,RF_ARTEC,Asst. Reproductive Technology,A,Y=Yes; N=No; X=Not applicable; U=Unknown,Reporting flag at 385
265,265,1,RF_CESAR,Previous Cesareans,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag at 386
266,267,2,RF_CESARN,Previous Cesareans Number,A,00=None; 01-30=Number; 99=Unknown or not stated,Reporting flag at 387
268,268,1,FILLER,Filler,,,
269,269,1,URF_DIAB,Diabetes,"A,S",1=Yes; 2=No; 9=Unknown,Risk factor (Unrevised recode); reporting flag at 411
270,270,1,URF_CHYPER,Chronic Hypertension,"A,S",1=Yes; 2=No; 9=Unknown,Risk factor (Unrevised recode); reporting flag at 412
271,271,1,URF_PHYPER,Pregnancy Associated Hypertension,"A,S",1=Yes; 2=No; 9=Unknown,Risk factor (Unrevised recode); reporting flag at 413
272,272,1,URF_ECLAMP,Eclampsia,"A,S",1=Yes; 2=No; 9=Unknown,Risk factor (Unrevised recode); reporting flag at 414
273,273,1,ULD_BREECH,Breech Delivery,"A,S",1=Yes; 2=No; 9=Not stated,Complications of labor/delivery; reporting flag at 415
274,274,1,ME_PRES,Fetal Presentation,A,1=Cephalic; 2=Breech; 3=Other; 9=Unknown or not stated,Method of Delivery (Revised); reporting flag at 388
275,275,1,ME_ROUT,Route & Method of Delivery,A,1=Spontaneous; 2=Forceps; 3=Vacuum; 4=Cesarean; 9=Unknown or not stated,Reporting flag at 389
276,276,1,ME_TRIAL,Trial of Labor Attempted,A,Y=Yes; N=No; X=Not applicable; U=Unknown or not stated,Reporting flag at 390
277,277,1,RDMETH_REC,Delivery Method Recode (Revised),A,1=Vaginal; 2=Vaginal after prev c-section; 3=Primary c-section; 4=Repeat c-section; 5=Vaginal (unknown prev c-section); 6=C-section (unknown prev c-section); 9=Not stated,Reporting flag at c389
278,278,1,UME_FORCP,Forceps,"A,S",1=Yes; 2=No; 9=Unknown or not stated,Method of Delivery (Unrevised); reporting flag at 416
279,279,1,UME_VAC,Vacuum,"A,S",1=Yes; 2=No; 9=Unknown or not stated,Method of Delivery (Unrevised); reporting flag at 417
280,280,1,DMETH_REC,Delivery Method Recode,"A,S",1=Vaginal; 2=C-section; 9=Not stated,Reporting flag at 410
281,281,1,MM_RUPT,Ruptured Uterus,A,Y=Yes; N=No; U=Unknown or not stated,Maternal morbidity; reporting flag at 391
282,282,1,MM_ICU,Admit to Intensive Care,A,Y=Yes; N=No; U=Unknown or not stated,Maternal morbidity; reporting flag at 392
283,283,1,ATTEND,Attendant,"A,S",1=MD; 2=DO; 3=CNM; 4=Other Midwife; 5=Other; 9=Unknown or not stated,Reporting flag at 433
284,300,17,FILLER,Filler,,,
301,301,1,DPLURAL,Plurality Recode,"A,S",1=Single; 2=Twin; 3=Triplet; 4=Quadruplet; 5=Quintuplet or higher,
302,302,1,FILLER,Filler,,,
303,303,1,IMP_PLUR,Plurality Imputed,"A,S",Blank=Not imputed; 1=Imputed,
304,305,2,FILLER,Filler,,,
306,306,1,SetOrder_R,Set Order Recode,A,1=1st; 2=2nd; 3=3rd; 4=4th; 5=5th to 16th; 9=Unknown or not stated,Reporting flag at c372
307,315,9,FILLER,Filler,,,
316,316,1,SEX,Sex of Infant,"A,S",M=Male; F=Female,
317,317,1,IMP_SEX,Sex Imputed,"A,S",Blank=Sex not imputed; 1=Sex is imputed,Only where gestation >= 20 weeks
318,319,2,DLMP_MM,Last Normal Menses Month,"A,S",01-12=Month; 99=Unknown or not stated,Reporting flag at 429
320,321,2,FILLER,Filler,,,
322,325,4,DLMP_YY,Last Normal Menses Year,"A,S",nnnn=Year; 9999=Unknown or not stated,Reporting flag at 431
326,328,3,FILLER,Filler,,,
329,329,1,GEST_IMP,Gestation Imputed Flag,"A,S",Blank=Not imputed; 1=Imputed,
330,330,1,OBGEST_FLG,Obstetric Estimate of Gestation Used Flag,"A,S",Blank=OE not used; 1=OE is used,
331,332,2,COMBGEST,Gestation - Detail in Weeks,"A,S",02-47=Weeks of gestation; 99=Unknown,Reporting flag at 404
333,334,2,GESTREC12,Gestation Recode 12,"A,S",01=Under 16 wks; 02=16-19; 03=20-23; 04=24-27; 05=28-31; 06=32-33; 07=34-36; 08=37-38; 09=39-40; 10=41; 11=42+; 12=Unknown,Reporting flag at 404
335,335,1,GESTREC5,Gestation Recode 5,"A,S",1=Under 20 wks; 2=20-23; 3=24-27; 4=28+ weeks; 5=Unknown,Reporting flag at 404
336,337,2,OEGest_Unedt,Obstetric Gestation (Unedited),"A,S",0-98=OE gestation revised / 02-47=Clinical estimate unrevised; 99=Unknown or not stated,Reporting flag at 373
338,338,1,FILLER,Filler,,,
339,339,1,COMBGEST_USED,Combined Gestation Used Flag,"A,S",Blank=Not used; 1=Used,
340,341,2,OEGest_Comb,Obstetric Estimate Edited (NCHS Standard item),"A,S",02-47=Weeks of gestation; 99=Not stated,Reporting flag at 373
342,343,2,OEGest_R12,Obstetric Estimate Recode 12 (NCHS Standard item),"A,S",01=Under 16 wks; 02=16-19; 03=20-23; 04=24-27; 05=28-31; 06=32-33; 07=34-36; 08=37-38; 09=39-40; 10=41; 11=42+; 12=Unknown,Reporting flag at 373
344,344,1,OEGest_R5,Obstetric Estimate Recode 5 (NCHS Standard item),"A,S",1=Under 20 wks; 2=20-23; 3=24-27; 4=28+ weeks; 5=Unknown,Reporting flag at 373
345,348,4,FILLER,Filler,,,
349,352,4,DBWT,Birth Weight - Detail in Grams,"A,S",0001-8165=Grams; 9999=Not stated,
353,354,2,BWTR14,Birth Weight Recode 14,"A,S",01=0-249g; 02=250-349; 03=350-499; 04=500-999; 05=1000-1499; 06=1500-1999; 07=2000-2499; 08=2500-2999; 09=3000-3499; 10=3500-3999; 11=4000-4499; 12=4500-4999; 13=5000-8165; 14=Unknown,
355,355,1,BWTR4,Birth Weight Recode 4,"A,S",1=1499g or less; 2=1500-2499; 3=2500-8165; 4=Unknown or not stated,
356,356,1,FILLER,Filler,,,
357,357,1,ESTOFD,Estimated Time of Fetal Death,A,"N=At assessment, no labor; L=At assessment, labor; A=Labor, no assessment; U=Unknown",Reporting flag at 435
358,358,1,AUTOPSY,Was Autopsy Performed?,A,Y=Yes; N=No; P=Planned,Reporting flag at 436
359,359,1,HISTOPF,Was Histological Placental Exam Performed?,A,Y=Yes; N=No; P=Planned,Reporting flag at 437
360,360,1,AUTOPF,Was Autop/Hist Results Used in Cause?,A,Y=Yes; N=No; X=Not applicable,Reporting flag at 438
361,371,11,FILLER,Filler,,,
372,372,1,F_MEDUC,Education of Mother Flag,A,0=Not reporting; 1=Reporting,Reporting flag
373,373,1,F_CLINEST,Obstetric Estimate of Gestation Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
374,374,1,F_TOBACO,Tobacco Use Flag,A,0=Not reporting; 1=Reporting,Reporting flag
375,375,1,F_M_HT,Mother's Height Flag,A,0=Not reporting; 1=Reporting,Reporting flag
376,376,1,F_PWGT,Prepregnancy Weight Flag,A,0=Not reporting; 1=Reporting,Reporting flag
377,377,1,F_WIC,WIC Flag,A,0=Not reporting; 1=Reporting,Reporting flag
378,378,1,F_RF_PDIAB,Prepregnancy Diabetes Flag,A,0=Not reporting; 1=Reporting,Reporting flag
379,379,1,F_RF_GDIAB,Gestational Diabetes Flag,A,0=Not reporting; 1=Reporting,Reporting flag
380,380,1,F_RF_PHYPER,Prepregnancy Hypertension Flag,A,0=Not reporting; 1=Reporting,Reporting flag
381,381,1,F_RF_GHYPER,Gestational Hypertension Flag,A,0=Not reporting; 1=Reporting,Reporting flag
382,382,1,F_RF_ECLAMP,Hypertension Eclampsia Flag,A,0=Not reporting; 1=Reporting,Reporting flag
383,383,1,F_RF_INFT,Infertility Treatment Flag,A,0=Not reporting; 1=Reporting,Reporting flag
384,384,1,F_RF_INFT_DRG,Fertility Enhance Drug Flag,A,0=Not reporting; 1=Reporting,Reporting flag
385,385,1,F_RF_INFT_ART,Reproductive Technology Flag,A,0=Not reporting; 1=Reporting,Reporting flag
386,386,1,F_RF_CESAR,Previous Cesarean Flag,A,0=Not reporting; 1=Reporting,Reporting flag
387,387,1,F_RF_NCESAR,Number of Previous Cesareans Flag,A,0=Not reporting; 1=Reporting,Reporting flag
388,388,1,F_MD_PRESENT,Fetal Presentation Flag,A,0=Not reporting; 1=Reporting,Reporting flag
389,389,1,F_MD_ROUTE,Final Route and Method of Delivery Flag,A,0=Not reporting; 1=Reporting,Reporting flag
390,390,1,F_MD_TRIAL,Trial of Labor Attempted Flag,A,0=Not reporting; 1=Reporting,Reporting flag
391,391,1,F_MM_RUPTUR,Ruptured Uterus Flag,A,0=Not reporting; 1=Reporting,Reporting flag
392,392,1,F_MM_ICU,Admission to Intensive Care Flag,A,0=Not reporting; 1=Reporting,Reporting flag
393,402,10,FILLER,Filler,,,
403,403,1,F_MPCB,Month Prenatal Care Began Flag,A,0=Not reporting; 1=Reporting,Reporting flag
404,404,1,F_CMBGST,Combined Gestation Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
405,405,1,F_CIGS_0,Cigarettes Before Pregnancy Flag,A,0=Not reporting; 1=Reporting,Reporting flag
406,406,1,F_CIGS_1,Cigarettes 1st Trimester Flag,A,0=Not reporting; 1=Reporting,Reporting flag
407,407,1,F_CIGS_2,Cigarettes 2nd Trimester Flag,A,0=Not reporting; 1=Reporting,Reporting flag
408,408,1,F_CIGS_3,Cigarettes 3rd Trimester Flag,A,0=Not reporting; 1=Reporting,Reporting flag
409,409,1,F_FACILITY,Facility Flag,A,0=Not reporting; 1=Reporting,Reporting flag
410,410,1,DelMethRecF,Delivery Method Recode Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
411,411,1,F_URF_DIABETES,Diabetes Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
412,412,1,F_URF_CHYPER,Chron Hyper Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
413,413,1,F_URF_PHYPER,Preg Assoc Hyper Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
414,414,1,F_URF_ECLAMP,Eclampsia Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
415,415,1,F_ULD_BREECH,Breech Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
416,416,1,F_U_FORCEP,Forceps Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
417,417,1,F_U_VACUUM,Vacuum Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
418,423,6,FILLER,Filler,,,
424,424,1,F_MORIGIN,Mother's Hispanic Origin Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
425,425,1,F_MRACE_R,Mother's Race (Revised) Flag,A,0=Not reporting; 1=Reporting,Reporting flag
426,426,1,F_FAGE_u,Father's Age Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
427,427,1,F_DLLB_MM,Last Live Birth Month (Revised) Flag,A,0=Not reporting; 1=Reporting,Reporting flag
428,428,1,FILLER,Filler,,,
429,429,1,F_DLMP_MM,Last Normal Menses Month Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
430,430,1,FILLER,Filler,,,
431,431,1,F_DLMP_YY,Last Normal Menses Year Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
432,432,1,F_MAGE,Mother's Age Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
433,433,1,F_ATTENDANT,Attendant Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
434,434,1,FILLER,Filler,,,
435,435,1,F_ESTOFD,Estimated Time of Fetal Death (Revised) Flag,A,0=Not reporting; 1=Reporting,Reporting flag
436,436,1,F_AUTOPSY,Autopsy (Revised) Flag,A,0=Not reporting; 1=Reporting,Reporting flag
437,437,1,F_HISTOPF,Histological Placental Exam (Revised) Flag,A,0=Not reporting; 1=Reporting,Reporting flag
438,438,1,F_AUTOPF,Autopsy/Histological Exam Used in Cause Flag,A,0=Not reporting; 1=Reporting,Reporting flag
439,439,1,F_MRACEREC,Mother's Bridged Race Recode Flag,"A,S",0=Not reporting; 1=Reporting,Reporting flag
440,2602,2163,FILLER,Filler,,,
2603,2607,5,IICOD,Initiating Cause or Condition Code,A,ICD-10 code; Blank=None reported,Coded cause of death; reporting flag at 2651
2608,2642,35,FILLER,Filler,,,COD section filler
2643,2645,3,IC_124_Fetal,Initiating Fetal Recode 124,A,001-124=Recode value,Reporting flag at 2651
2646,2650,5,FILLER,Filler,,,
2651,2651,1,F_ICOD,Init Cause or Condition Flag,A,0=Not reporting; 1=Reporting,Reporting flag
2652,3050,399,FILLER,Filler,,,End of record filler
