harmonized_name,harmonized_label,domain,type,allowed_values,years_available,raw_source_by_year,comparability_class,derivation_rule,notes
maternal_race_bridged_detail,Mother's Bridged Race (detailed),maternal_demo,int,01-14;18;21-24;28;38;48;58;68;78;99,1982-2006,1985:MRACE(86-86); 1992:MRACE(79-80); 2006:MBRACE(139-140); 2014:N/A; 2022:N/A,within_era,,"WARNING: V2 vs V1 use INCOMPATIBLE codings in this column. V2 1989-rev MRACE: 01-07 single race + 18/28/38/48/58/68/78 Asian/PI subcodes + 99=Unknown. V1 2006 MBRACE: 01-14 single race + 21-24 bridged. Codes 04-07 mean DIFFERENT subgroups across eras (e.g., V2 04=Chinese, V1 04=AIAN-Aleut). within_era only — do NOT cross-era groupby on this column."
hispanic_origin,Mother's Hispanic Origin,maternal_demo,int,0-9,1989-2024,2006:UMHISP(148-148); 2014:UMHISP(142-142); 2022:UMHISP(142-142),full,,0=Non-Hispanic; 1=Mexican; 2=PR; 3=Cuban; 4=Central/South American; 5=Other Hispanic; 9=Unknown. Same coding all years (A+S). Position differs in 2006.
race_hispanic_combined,Mother's Bridged Race/Hispanic Origin,maternal_demo,int,1-9,1989-2017,2006:MRACEHISP(149-149); 2014:MRACEHISP(143-143); 2022:N/A,partial,,Combined bridged-race/Hispanic recode. Present in 2006 (A+S) and 2014 (A+S). Not in 2022 layout.
race_hispanic_revised,Mother's Race/Hispanic Origin (revised),maternal_demo,int,1-8,2014-2024,2006:N/A; 2014:SR_MRACEHISP(144-144); 2022:SR_MRACEHISP(144-144),within_era,,8-category multi-race/Hispanic recode. Version A only. Not in 2006. Available 2014+.
maternal_education,Mother's Education (Revised),maternal_demo,int,1-9,"2003-2006, 2014-2024",2006:MEDUC(155-155); 2014:MEDUC(145-145); 2022:MEDUC(145-145),full,,Revised 2003 coding (1-9). Version A only. Same coding all years; position differs in 2006.
maternal_education_unrevised,Mother's Education (Unrevised),maternal_demo,int,0-99,1982-2006,1985:DMEDUC(88-89); 1992:DMEDUC(82-83); 2006:UMEDUC(156-157); 2014:N/A; 2022:N/A,within_era,,Unrevised years-of-school coding (00-17; 99). V2 1992-2002 sources from DMEDUC (82-83); V1 2005-2006 sources from UMEDUC (S-version only). Blank for 2007-2013 (NCHS did not include UMEDUC in those V1 public-use years). Not in 2014/2022 layouts.
marital_status,Mother's Marital Status,maternal_demo,int,1-9,1982-2013,1985:DMAR(87-87); 1992:DMAR(86-86); 2006:MAR(153-153); 2014:N/A; 2022:N/A,within_era,,1=Married; 2=Unmarried; 9=Unknown. V2 1992-2002 sources from DMAR (86); V1 2005-2013 sources from MAR (A+S). Not in 2014 or 2022 public-use fetal death layouts.
maternal_nativity,Mother's Birth State Recode,maternal_demo,int,1-3,2014-2024,2006:N/A; 2014:MBSTATE_REC(97-97); 2022:MBSTATE_REC(97-97),within_era,,1=Native born; 2=Foreign born; 3=Unknown. Version A only. Not in 2006 public-use file. Available 2014+.
paternal_age_combined,Father's Combined Age,paternal_demo,int,10-99,"1982-2002, 2005-2006, 2014-2024",1985:DFAGE(107-108); 2006:FAGECOMB(182-183); 2014:FAGECOMB(177-178); 2022:FAGECOMB(177-178),full,,10-98 single year; 99=Unknown. Version A only. Same coding all years; position differs in 2006.
paternal_age_recode11,Father's Age Recode 11,paternal_demo,int,01-11,1982-2024,1985:FAGE12(109-110)+harmonize.py FAGE12 collapse; 1992:FAGE11(163-164)+harmonize.py recode; 2006:FAGEREC11(186-187); 2014:FAGEREC11(179-180); 2022:FAGEREC11(179-180),full,,"11-category recode. V2 1989-rev FAGE11 is 12-cat (10=55-59, 11=60-98, 12=Unknown); harmonize.py collapses to V1 11-cat (V2 10/11 -> 10 [55+]; V2 12 -> 11 [Unknown]). Full 12-cat detail preserved in yearly raw parquets. Position differs across eras."
live_birth_order,Live Birth Order Recode,pregnancy,int,0-9,1982-2024,1985:LIVORD10(106-106); 2006:LBO_REC(212-212); 2014:LBO_REC(187-187); 2022:LBO_REC(187-187),full,,0-8 or 9=Unknown. Same coding all years (A+S). Position differs in 2006.
plurality,Plurality Recode,pregnancy,int,1-9,1982-2024,1985:NUMDEL(68-68); 2006:DPLURAL(423-423); 2014:DPLURAL(301-301); 2022:DPLURAL(301-301),partial,,1=Single through 5=Quintuplet+. Same concept; 2022 max is 4=Quadruplet or higher vs 2006/2014 have 5=Quintuplet+. Position differs in 2006.
prenatal_care_month,Month Prenatal Care Began (Revised),pregnancy,int,0-99,"2003-2006, 2014-2024",2006:PRECARE(245-246); 2014:PRECARE(202-203); 2022:PRECARE(202-203),full,,00=No care; 01-10=Month; 99=Unknown. Version A only. Same coding all years; position differs in 2006.
prenatal_care_month_unrevised,Month Prenatal Care Began (Unrevised),pregnancy,int,0-99,1982-2006,1985:MONPRE(58-59); 1992:MONPRE(113-114); 2006:MPCB(256-257); 2014:N/A; 2022:N/A,within_era,,Unrevised prenatal care month. V2 1992-2002 sources from MONPRE (113-114); V1 2005-2006 sources from MPCB (S-version only). Blank for 2007-2013. Not in 2014/2022.
prenatal_care_recode,Month Prenatal Care Began Recode (Revised),pregnancy,int,1-5,"2003-2006, 2014-2024",2006:PRECARE_REC(247-247); 2014:PRECARE_REC(204-204); 2022:PRECARE_REC(204-204),full,,5-category recode. Version A only. Same coding all years; position differs in 2006.
delivery_method_recode,Delivery Method Recode (simple),delivery,int,1-9,1989-2024,2006:DMETH_REC(403-403); 2014:DMETH_REC(280-280); 2022:DMETH_REC(280-280),full,,1=Vaginal; 2=C-section; 9=Not stated. Available A+S all years. Position differs in 2006.
delivery_method_revised,Delivery Method Recode (Revised),delivery,int,1-9,2014-2024,2006:N/A; 2014:RDMETH_REC(277-277); 2022:RDMETH_REC(277-277),within_era,,6-category revised recode (vaginal/VBAC/primary C-sec/repeat C-sec/etc). Version A only. Not in 2006 public-use file. Available 2014+.
delivery_route,Route and Method of Delivery,delivery,int,1-9,"2005-2006, 2014-2024",2006:ME_ROUT(393-393); 2014:ME_ROUT(275-275); 2022:ME_ROUT(275-275),full,,1=Spontaneous; 2=Forceps; 3=Vacuum; 4=Cesarean; 9=Unknown. Version A only. Same coding all years; position differs in 2006.
prior_cesarean,Previous Cesareans (Y/N),pregnancy,str,"N, U, Y","2005-2006, 2014-2024",2006:RF_CESAR(324-324); 2014:RF_CESAR(265-265); 2022:RF_CESAR(265-265),full,,Y/N/U. Version A only. Same coding all years; position differs in 2006.
prior_cesarean_number,Previous Cesareans Number,pregnancy,int,0-99,"2005-2006, 2014-2024",2006:RF_CESARN(325-326); 2014:RF_CESARN(266-267); 2022:RF_CESARN(266-267),full,,00-30; 99=Unknown. Version A only. Same coding all years; position differs in 2006.
fetal_sex,Sex of Infant,fetal,str,"F, M, U",1982-2024,1985:FSEX(64-64)+harmonize.py 1/2/9->M/F/U recode; 2006:SEX(436-436); 2014:SEX(316-316); 2022:SEX(316-316),full,,M=Male; F=Female. Same coding all years (A+S). Position differs in 2006.
gestational_age_clinical,Obstetric/Clinical Gestation Estimate (unedited),fetal,int,0-99,1982-2024,1985:CLINGEST(115-116); 2006:ESTGEST(446-447); 2014:OEGest_Unedt(336-337); 2022:OEGest_Unedt(336-337),partial,,Unedited OE gestation in weeks. In 2006 field is ESTGEST (pos 446-447); in 2014/2022 it is OEGest_Unedt (pos 336-337). For version A = obstetric estimate (0-98); for S = clinical estimate (02-47). Field name and position changed.
gestational_age_oe_edited,Obstetric Estimate Edited (NCHS standard),fetal,int,2-99,2014-2024,2006:N/A; 2014:OEGest_Comb(340-341); 2022:OEGest_Comb(340-341),within_era,,Edited OE in weeks (02-47; 99). Not in 2006 layout. Available 2014+. This is the NCHS standard tabulation item.
gestational_age_combined,Combined Gestation Detail in Weeks,fetal,int,2-99,1982-2024,1985:DGESTAT(76-77); 2006:COMBGEST(451-452); 2014:COMBGEST(331-332); 2022:COMBGEST(331-332),full,,02-47 weeks; 99=Unknown. Same coding all years (A+S). Position differs in 2006.
gestational_age_recode12,Gestation Recode 12,fetal,int,1-12,1982-2024,1985:GESTAT12(78-79); 2006:GESTREC12(453-454); 2014:GESTREC12(333-334); 2022:GESTREC12(333-334),partial,,12-category recode. 2006 bins differ slightly (06=32-35; 07=36; 08=37-39; 09=40) vs 2014/2022 (06=32-33; 07=34-36; 08=37-38; 09=39-40). All years A+S.
gestational_age_recode5,Gestation Recode 5,fetal,int,1-5,1982-2024,1985:GESTAT5(80-80); 2006:GESTREC5(455-455); 2014:GESTREC5(335-335); 2022:GESTREC5(335-335),full,,5-category recode. Same coding all years (A+S). Position differs in 2006.
oe_gest_recode12,Obstetric Estimate Recode 12 (NCHS standard),fetal,int,1-12,2014-2024,2006:N/A; 2014:OEGest_R12(342-343); 2022:OEGest_R12(342-343),within_era,,12-category OE recode. Not in 2006. Available 2014+ (A+S). NCHS standard tabulation item.
oe_gest_recode5,Obstetric Estimate Recode 5 (NCHS standard),fetal,int,1-5,2014-2024,2006:N/A; 2014:OEGest_R5(344-344); 2022:OEGest_R5(344-344),within_era,,5-category OE recode. Not in 2006. Available 2014+ (A+S). NCHS standard tabulation item.
birthweight,Birth Weight Detail in Grams,fetal,int,1-9999,1982-2024,1985:DBIRWT(69-72); 2006:DBWT(463-466); 2014:DBWT(349-352); 2022:DBWT(349-352),full,,0001-8165 grams; 9999=Not stated. Same coding all years (A+S). Position differs in 2006.
birthweight_recode14,Birth Weight Recode 14,fetal,int,1-14,1982-2024,1985:BIRWT14(73-74); 2006:BWTR14(471-472); 2014:BWTR14(353-354); 2022:BWTR14(353-354),full,,14-category gram-range recode. Same coding all years (A+S). Position differs in 2006.
birthweight_recode4,Birth Weight Recode 4,fetal,int,1-4,1989-2024,2006:BWTR4(473-473); 2014:BWTR4(355-355); 2022:BWTR4(355-355),full,,4-category recode. Same coding all years (A+S). Position differs in 2006.
fetal_presentation,Fetal Presentation,fetal,int,1-9,"2005-2006, 2014-2024",2006:ME_PRES(392-392); 2014:ME_PRES(274-274); 2022:ME_PRES(274-274),full,,1=Cephalic; 2=Breech; 3=Other; 9=Unknown. Version A only. Same coding all years; position differs in 2006.
prepregnancy_diabetes,Prepregnancy Diabetes (Revised),risk_factors,str,"N, U, Y","2005-2006, 2014-2024",2006:RF_DIAB(313-313); 2014:RF_DIAB(257-257); 2022:RF_DIAB(257-257),full,,Y/N/U (2006 also has X=Not on certificate). Version A only. Same concept; 2006 includes X code. Position differs in 2006.
gestational_diabetes,Gestational Diabetes (Revised),risk_factors,str,"N, U, Y","2005-2006, 2014-2024",2006:RF_GEST(314-314); 2014:RF_GEST(258-258); 2022:RF_GEST(258-258),full,,Y/N/U (2006 also has X). Version A only. Same concept; position differs in 2006.
diabetes_unrevised,Diabetes (Unrevised combined),risk_factors,int,1-9,1989-2017,2006:URF_DIAB(331-331); 2014:URF_DIAB(269-269); 2022:N/A,partial,,Unrevised combined diabetes flag (1=Yes; 2=No; 9=Unknown). Available in 2006 (A+S) and 2014 (A+S). Not in 2022 layout. 2006 also has 8=Not on certificate.
prepregnancy_hypertension,Prepregnancy Hypertension (Revised),risk_factors,str,"N, U, Y","2005-2006, 2014-2024",2006:RF_PHYP(315-315); 2014:RF_PHYP(259-259); 2022:RF_PHYP(259-259),full,,Y/N/U (2006 also has X). Version A only. Same concept; position differs in 2006.
gestational_hypertension,Gestational Hypertension (Revised),risk_factors,str,"N, U, Y","2005-2006, 2014-2024",2006:RF_GHYP(316-316); 2014:RF_GHYP(260-260); 2022:RF_GHYP(260-260),full,,Y/N/U (2006 also has X). Version A only. Same concept; position differs in 2006.
chronic_hypertension_unrevised,Chronic Hypertension (Unrevised),risk_factors,int,1-9,1989-2017,2006:URF_CHYPER(335-335); 2014:URF_CHYPER(270-270); 2022:N/A,partial,,Unrevised chronic hypertension (1=Yes; 2=No; 9=Unknown). 2006 (A+S) and 2014 (A+S). Not in 2022. 2006 also has 8=Not on certificate.
pregnancy_hypertension_unrevised,Pregnancy-Associated Hypertension (Unrevised),risk_factors,int,1-9,1989-2017,2006:URF_PHYPER(336-336); 2014:URF_PHYPER(271-271); 2022:N/A,partial,,Unrevised pregnancy hypertension (1=Yes; 2=No; 9=Unknown). 2006 (A+S) and 2014 (A+S). Not in 2022. 2006 also has 8.
eclampsia,Hypertension Eclampsia (Revised),risk_factors,str,"N, U, Y","2005-2006, 2014-2024",2006:RF_ECLAM(317-317); 2014:RF_ECLAM(261-261); 2022:RF_ECLAM(261-261),full,,Y/N/U (2006 also has X). Version A only. Same concept; position differs in 2006.
eclampsia_unrevised,Eclampsia (Unrevised),risk_factors,int,1-9,1989-2017,2006:URF_ECLAMP(337-337); 2014:URF_ECLAMP(272-272); 2022:N/A,partial,,Unrevised eclampsia (1=Yes; 2=No; 9=Unknown). 2006 (A+S) and 2014 (A+S). Not in 2022. 2006 also has 8.
tobacco_use_revised,Cigarette Recode (Revised Y/N),risk_factors,str,"N, U, Y","2003-2006, 2014-2024",2006:CIG_REC(294-294); 2014:CIG_REC(238-238); 2022:CIG_REC(238-238),full,,Y=Yes; N=No; U=Unknown. Version A only. 2006 also has X=Not on certificate. Position differs in 2006.
tobacco_cig_1st_tri,Cigarettes 1st Trimester,risk_factors,int,0-99,"2003-2006, 2014-2024",2006:CIG_1(284-285); 2014:CIG_1(232-233); 2022:CIG_1(232-233),full,,00-98 daily; 99=Unknown. Version A only. Position differs in 2006.
tobacco_cig_2nd_tri,Cigarettes 2nd Trimester,risk_factors,int,0-99,"2003-2006, 2014-2024",2006:CIG_2(286-287); 2014:CIG_2(234-235); 2022:CIG_2(234-235),full,,00-98 daily; 99=Unknown. Version A only. Position differs in 2006.
tobacco_cig_3rd_tri,Cigarettes 3rd Trimester,risk_factors,int,0-99,"2003-2006, 2014-2024",2006:CIG_3(288-289); 2014:CIG_3(236-237); 2022:CIG_3(236-237),full,,00-98 daily; 99=Unknown. Version A only. Position differs in 2006.
tobacco_cig_prepreg,Cigarettes Before Pregnancy,risk_factors,int,0-99,2014-2024,2006:N/A; 2014:CIG_0(230-231); 2022:CIG_0(230-231),within_era,,00-98 daily; 99=Unknown. Version A only. Not in 2006 layout. Available 2014+.
tobacco_use_unrevised,Tobacco Use (Unrevised Y/N),risk_factors,int,1-9,1989-2006,1992:TOBACCO(245-245); 2006:TOBUSE(290-290); 2014:N/A; 2022:N/A,within_era,,1=Yes; 2=No; 9=Unknown. V2 1992-2002 sources from TOBACCO (245); V1 2005-2006 sources from TOBUSE (S-version only). Blank for 2007-2013.
prepregnancy_bmi,Pre-pregnancy BMI,risk_factors,float,13.0-69.9;99.9,2014-2024,2006:N/A; 2014:BMI(245-248); 2022:BMI(245-248),within_era,,Valid range 13.0-69.9; 99.9=Unknown. Version A only. Not in 2006 public-use file. Available 2014+.
prepregnancy_bmi_recode,Pre-pregnancy BMI Recode,risk_factors,int,1-9,2014-2024,2006:N/A; 2014:BMI_R(249-249); 2022:BMI_R(249-249),within_era,,6-category BMI recode. Version A only. Not in 2006. Available 2014+.
uterine_rupture,Ruptured Uterus,morbidity,str,"N, U, Y",2014-2024,2006:N/A; 2014:MM_RUPT(281-281); 2022:MM_RUPT(281-281),within_era,,Y/N/U. Version A only. Not in 2006 public-use file. Available 2014+.
icu_admission,Admit to Intensive Care,morbidity,str,"N, U, Y",2014-2024,2006:N/A; 2014:MM_ICU(282-282); 2022:MM_ICU(282-282),within_era,,Y/N/U. Version A only. Not in 2006 public-use file. Available 2014+.
cause_icd10,Initiating Cause/Condition ICD-10 Code,cause_of_death,str,277 unique values,2014-2024,2006:N/A; 2014:IICOD(2603-2607); 2022:IICOD(2603-2607),within_era,,5-character ICD-10 code; blank=none reported. Version A only. Not in 2006 public-use file. Available 2014+.
cause_recode124,Initiating Fetal Cause Recode 124,cause_of_death,int,2-143,2014-2024,2006:N/A; 2014:IC_124_Fetal(2643-2645); 2022:IC_124_Fetal(2643-2645),within_era,,3-digit recode (001-124). Version A only. Not in 2006 public-use file. Available 2014+.
cause_reporting_flag,Initiating Cause/Condition Reporting Flag,cause_of_death,int,0-1,2014-2024,2006:N/A; 2014:F_ICOD(2651-2651); 2022:F_ICOD(2651-2651),within_era,,0=Not reporting; 1=Reporting. Version A only. Not in 2006. Available 2014+.
attendant,Attendant at Delivery,delivery,int,1-9,1989-2024,2006:ATTEND(410-410); 2014:ATTEND(283-283); 2022:ATTEND(283-283),full,,1=MD; 2=DO; 3=CNM; 4=Other Midwife; 5=Other; 9=Unknown. Same coding all years (A+S). Position differs in 2006.
delivery_place_revised,Delivery Place (Revised),delivery,int,1-9,"2006, 2014-2024",2006:BFACIL(41-41); 2014:BFACIL(34-34); 2022:BFACIL(34-34),full,,7-category revised place (Hospital/Birth Center/Home intended/etc). Version A only. Same coding all years; position differs in 2006.
delivery_place_unrevised,Delivery Place (Unrevised),delivery,int,1-9,1982-2017,1985:PLDEL(56-56); 1992:PLDEL(8-8); 2006:UBFACIL(42-42); 2014:UBFACIL(35-35); 2022:N/A,within_era,,"WARNING: V2 vs V1 use INCOMPATIBLE place taxonomies. V2 PLDEL: 1=Hospital, 2=Doctor/home/public collapsed, 3=En route, 9=Unknown. V1 UBFACIL: 1=Hospital, 2=Birth Center, 3=Home (intended), 4=Home (unintended), 5=Other, 9=Unknown. Codes 2 and 3 mean DIFFERENT THINGS across eras. within_era only — do NOT cross-era groupby on this column."
delivery_place_recode,Delivery Place Recode,delivery,int,1-3,"1982-2004, 2006-2024",1985:PLDEL(56-56)+harmonize.py recode (from PLDEL); 1992:PLDEL(8-8)+harmonize.py recode; 2006:BFACIL3(59-59); 2014:BFACIL3(52-52); 2022:BFACIL3(52-52),full,,"1=In Hospital; 2=Not in Hospital; 3=Unknown. V2 sources from raw PLDEL (8-8) — harmonize.py recodes PLDEL=1->1, PLDEL=3->1, PLDEL=2->2, PLDEL=9->3 — to recover V1's 3-bucket scheme that V2's PLDEL2 (which folds Unknown into 2) lacks."
breech_unrevised,Breech Delivery (Unrevised),delivery,int,1-9,1989-2017,1992:BREECH(273-273); 2006:ULD_BREECH(384-384); 2014:ULD_BREECH(273-273); 2022:N/A,within_era,,"WARNING: V2 vs V1 measure DIFFERENT CONCEPTS in this column. V2 BREECH = 'Breech/Malpresentation' (broader: includes any malpresentation — breech, transverse, brow, face). V1 ULD_BREECH = 'Breech Delivery' (narrower: only breech-position deliveries). within_era only — do NOT cross-era groupby on this column."
estimated_time_fetal_death,Estimated Time of Fetal Death,fetal,str,"A, L, N, U",2014-2024,2006:N/A; 2014:ESTOFD(357-357); 2022:ESTOFD(357-357),within_era,,N=At assessment no labor; L=At assessment labor; A=Labor no assessment; U=Unknown. Version A only. Not in 2006 public-use file. Available 2014+.
gestation_imputed_flag,Gestation Imputed Flag,fetal,int,1-1,1989-2024,2006:GEST_IMP(457-457); 2014:GEST_IMP(329-329); 2022:GEST_IMP(329-329),full,,Blank=Not imputed; 1=Imputed. Same coding all years (A+S). Position differs in 2006.
obgest_used_flag,Obstetric Estimate of Gestation Used Flag,fetal,int,1-1,2003-2024,2006:OBGEST_FLG(456-456); 2014:OBGEST_FLG(330-330); 2022:OBGEST_FLG(330-330),full,,Blank=Not used; 1=Used. Same coding all years (A+S). Position differs in 2006.
#ENVELOPE_NOTE,Fetal-death v2.4.0 envelope (schema comment row),meta,comment,,1982-2024 (7-era),,,"D-prep.3 2026-05-20 (`schema-years-available-gap-notation`). Per-column `years_available` = parquet-derived non-blank year spans (`fetal_death/scripts/_regenerate_schema_years.py`). Era bands: V3b 1982-1988 (1978-rev) | V3a 1989-1991 (early-1989-rev) | V2 1992-2002 | V2.1 2003-2004 (transition) | V1 2005-2024. Linked-file permanent 1992-1994 gap: see `natality/metadata/harmonized_schema.csv`."
