candidate_harmonized_name,harmonized_label,domain,field_1992,pos_1992,field_2006,pos_2006,field_2014,pos_2014,field_2022,pos_2022,comparability_status,notes
live_birth_order,Live Birth Order Recode,pregnancy,LIVORD9,107-107,LBO_REC,212-212,LBO_REC,187-187,LBO_REC,187-187,full,0-8 or 9=Unknown. Same coding all years (A+S). Position differs in 2006. [1992-2002: 0-8 or 9=Unknown. Same concept. Detail DLIVORD at 105-106 also available.]
plurality,Plurality Recode,pregnancy,DPLURAL,215-215,DPLURAL,423-423,DPLURAL,301-301,DPLURAL,301-301,partial,1=Single through 5=Quintuplet+. Same concept; 2022 max is 4=Quadruplet or higher vs 2006/2014 have 5=Quintuplet+. Position differs in 2006. [1992-2002: 1=Single through 5=Quintuplet+; 9=Louisiana (not reported). Same code structure as 2006 A/S. Louisiana sentinel is unique to this era.]
prenatal_care_month,Month Prenatal Care Began (Revised),pregnancy,N/A,N/A,PRECARE,245-246,PRECARE,202-203,PRECARE,202-203,full,00=No care; 01-10=Month; 99=Unknown. Version A only. Same coding all years; position differs in 2006. [1992-2002: Revised PRECARE is 2003 revision only.]
prenatal_care_month_unrevised,Month Prenatal Care Began (Unrevised),pregnancy,MONPRE,113-114,MPCB,256-257,N/A,N/A,N/A,N/A,within_era,Unrevised prenatal care month. Only in 2006 (version S). Not in 2014/2022. [1992-2002: 00=None;01-09=1st-9th month;99=Unknown. Same as MPCB in 2006. Subject to residence state reporting (flag PNCF at 323).]
prenatal_care_recode,Month Prenatal Care Began Recode (Revised),pregnancy,N/A,N/A,PRECARE_REC,247-247,PRECARE_REC,204-204,PRECARE_REC,204-204,full,5-category recode. Version A only. Same coding all years; position differs in 2006. [1992-2002: Revised recode 2003+ only. Closest is MPRE5 (116) or MPRE6 (115) — 5-cat or 6-cat 1989-era recodes.]
delivery_method_recode,Delivery Method Recode (simple),delivery,DELMETH6,227-227,DMETH_REC,403-403,DMETH_REC,280-280,DMETH_REC,280-280,full,"1=Vaginal; 2=C-section; 9=Not stated. Available A+S all years. Position differs in 2006. [1992-2002: DELMETH6 (6-cat 1989-era) collapsed to V1 3-cat by harmonize.py: {1 Vag-excl-VBAC, 2 VBAC}→1; {3 PrimC, 4 RepC, 5 Hyst}→2; 6 NS→9. Full 6-cat detail preserved as DELMETH6 in yearly_clean raw parquets if needed.]"
delivery_method_revised,Delivery Method Recode (Revised),delivery,N/A,N/A,N/A,N/A,RDMETH_REC,277-277,RDMETH_REC,277-277,within_era,6-category revised recode (vaginal/VBAC/primary C-sec/repeat C-sec/etc). Version A only. Not in 2006 public-use file. Available 2014+. [1992-2002: Revised recode is 2003+.]
delivery_route,Route and Method of Delivery,delivery,N/A,N/A,ME_ROUT,393-393,ME_ROUT,275-275,ME_ROUT,275-275,full,1=Spontaneous; 2=Forceps; 3=Vacuum; 4=Cesarean; 9=Unknown. Version A only. Same coding all years; position differs in 2006. [1992-2002: ME_ROUT is 2003 revision only.]
prior_cesarean,Previous Cesareans (Y/N),pregnancy,N/A,N/A,RF_CESAR,324-324,RF_CESAR,265-265,RF_CESAR,265-265,full,Y/N/U. Version A only. Same coding all years; position differs in 2006. [1992-2002: RF_CESAR is 2003 revision only. 1989 era does not collect as a risk-factor item.]
prior_cesarean_number,Previous Cesareans Number,pregnancy,N/A,N/A,RF_CESARN,325-326,RF_CESARN,266-267,RF_CESARN,266-267,full,00-30; 99=Unknown. Version A only. Same coding all years; position differs in 2006. [1992-2002: RF_CESARN is 2003 revision only.]
fetal_sex,Sex of Infant,fetal,FSEX,203-203,SEX,436-436,SEX,316-316,SEX,316-316,full,"M=Male; F=Female; U=Unknown. Same coding all years (A+S). Position differs in 2006. [1992-2002: raw FSEX uses 1/2/9 numeric; harmonize.py recodes to V1 M/F/U so fetal_sex carries a single code system across eras.]"
gestational_age_clinical,Obstetric/Clinical Gestation Estimate (unedited),fetal,CLINGEST,216-217,ESTGEST,446-447,OEGest_Unedt,336-337,OEGest_Unedt,336-337,partial,Unedited OE gestation in weeks. In 2006 field is ESTGEST (pos 446-447); in 2014/2022 it is OEGest_Unedt (pos 336-337). For version A = obstetric estimate (0-98); for S = clinical estimate (02-47). Field name and position changed. [1992-2002: 02-47 weeks;99=Unknown. Same concept as ESTGEST S-version. Subject to residence state reporting (flag GESTE at 325).]
gestational_age_oe_edited,Obstetric Estimate Edited (NCHS standard),fetal,N/A,N/A,N/A,N/A,OEGest_Comb,340-341,OEGest_Comb,340-341,within_era,Edited OE in weeks (02-47; 99). Not in 2006 layout. Available 2014+. This is the NCHS standard tabulation item. [1992-2002: Obstetric-estimate edited gestation is 2014+ concept.]
gestational_age_combined,Combined Gestation Detail in Weeks,fetal,DGESTAT,197-198,COMBGEST,451-452,COMBGEST,331-332,COMBGEST,331-332,full,02-47 weeks; 99=Unknown. Same coding all years (A+S). Position differs in 2006. [1992-2002: 02-47 weeks;99=Unknown. Edited/imputed gestation used in NCHS tabs. Same concept as COMBGEST.]
gestational_age_recode12,Gestation Recode 12,fetal,GESTAT12,199-200,GESTREC12,453-454,GESTREC12,333-334,GESTREC12,333-334,partial,12-category recode. 2006 bins differ slightly (06=32-35; 07=36; 08=37-39; 09=40) vs 2014/2022 (06=32-33; 07=34-36; 08=37-38; 09=39-40). All years A+S. [1992-2002: 12-cat recode. Bin boundaries differ slightly from V1; compare and document.]
gestational_age_recode5,Gestation Recode 5,fetal,GESTAT5,201-201,GESTREC5,455-455,GESTREC5,335-335,GESTREC5,335-335,full,5-category recode. Same coding all years (A+S). Position differs in 2006. [1992-2002: 5-cat recode (<20/20-23/24-27/28+/Unknown). Same concept as GESTREC5.]
oe_gest_recode12,Obstetric Estimate Recode 12 (NCHS standard),fetal,N/A,N/A,N/A,N/A,OEGest_R12,342-343,OEGest_R12,342-343,within_era,12-category OE recode. Not in 2006. Available 2014+ (A+S). NCHS standard tabulation item. [1992-2002: OE concept is 2014+.]
oe_gest_recode5,Obstetric Estimate Recode 5 (NCHS standard),fetal,N/A,N/A,N/A,N/A,OEGest_R5,344-344,OEGest_R5,344-344,within_era,5-category OE recode. Not in 2006. Available 2014+ (A+S). NCHS standard tabulation item. [1992-2002: OE concept is 2014+.]
birthweight,Birth Weight Detail in Grams,fetal,DBIRWT,207-210,DBWT,463-466,DBWT,349-352,DBWT,349-352,full,0001-8165 grams; 9999=Not stated. Same coding all years (A+S). Position differs in 2006. [1992-2002: 0000-8165 grams; 9999=Unknown. Same concept. V1 range starts at 0001; 1992 allows 0000.]
birthweight_recode14,Birth Weight Recode 14,fetal,BIRWT14,211-212,BWTR14,471-472,BWTR14,353-354,BWTR14,353-354,full,14-category gram-range recode. Same coding all years (A+S). Position differs in 2006. [1992-2002: 14-cat gram-range recode. Same coding as V1.]
birthweight_recode4,Birth Weight Recode 4,fetal,BIRWT4,213-213,BWTR4,473-473,BWTR4,355-355,BWTR4,355-355,full,4-category recode. Same coding all years (A+S). Position differs in 2006. [1992-2002: 4-cat recode. Same coding.]
fetal_presentation,Fetal Presentation,fetal,N/A,N/A,ME_PRES,392-392,ME_PRES,274-274,ME_PRES,274-274,full,"1=Cephalic; 2=Breech; 3=Other; 9=Unknown. Version A only. Same coding all years; position differs in 2006. [1992-2002: ME_PRES is 2003 revision only. BREECH indicator (273) is a labor complication, not a presentation item.]"
prepregnancy_diabetes,Prepregnancy Diabetes (Revised),risk_factors,N/A,N/A,RF_DIAB,313-313,RF_DIAB,257-257,RF_DIAB,257-257,full,Y/N/U (2006 also has X=Not on certificate). Version A only. Same concept; 2006 includes X code. Position differs in 2006. [1992-2002: Revised split into prepreg vs gestational is 2003+.]
gestational_diabetes,Gestational Diabetes (Revised),risk_factors,N/A,N/A,RF_GEST,314-314,RF_GEST,258-258,RF_GEST,258-258,full,Y/N/U (2006 also has X). Version A only. Same concept; position differs in 2006. [1992-2002: Revised split is 2003+.]
diabetes_unrevised,Diabetes (Unrevised combined),risk_factors,DIABETES,231-231,URF_DIAB,331-331,URF_DIAB,269-269,N/A,N/A,partial,Unrevised combined diabetes flag (1=Yes; 2=No; 9=Unknown). Available in 2006 (A+S) and 2014 (A+S). Not in 2022 layout. 2006 also has 8=Not on certificate. [1992-2002: 1989-era code structure: 1=Reported;2=Not reported;8=Not on cert;9=Not classifiable. DIFFERS from 2006 URF_DIAB (1=Yes;2=No;8=Not on cert;9=Unknown) — semantically similar but 'reported' vs 'Yes' wording.]
prepregnancy_hypertension,Prepregnancy Hypertension (Revised),risk_factors,N/A,N/A,RF_PHYP,315-315,RF_PHYP,259-259,RF_PHYP,259-259,full,Y/N/U (2006 also has X). Version A only. Same concept; position differs in 2006. [1992-2002: Revised split is 2003+.]
gestational_hypertension,Gestational Hypertension (Revised),risk_factors,N/A,N/A,RF_GHYP,316-316,RF_GHYP,260-260,RF_GHYP,260-260,full,Y/N/U (2006 also has X). Version A only. Same concept; position differs in 2006. [1992-2002: Revised split is 2003+.]
chronic_hypertension_unrevised,Chronic Hypertension (Unrevised),risk_factors,CHYPER,235-235,URF_CHYPER,335-335,URF_CHYPER,270-270,N/A,N/A,partial,Unrevised chronic hypertension (1=Yes; 2=No; 9=Unknown). 2006 (A+S) and 2014 (A+S). Not in 2022. 2006 also has 8=Not on certificate. [1992-2002: 1989-era code structure (see diabetes_unrevised note).]
pregnancy_hypertension_unrevised,Pregnancy-Associated Hypertension (Unrevised),risk_factors,PHYPER,236-236,URF_PHYPER,336-336,URF_PHYPER,271-271,N/A,N/A,partial,Unrevised pregnancy hypertension (1=Yes; 2=No; 9=Unknown). 2006 (A+S) and 2014 (A+S). Not in 2022. 2006 also has 8. [1992-2002: 1989-era code structure.]
eclampsia,Hypertension Eclampsia (Revised),risk_factors,N/A,N/A,RF_ECLAM,317-317,RF_ECLAM,261-261,RF_ECLAM,261-261,full,Y/N/U (2006 also has X). Version A only. Same concept; position differs in 2006. [1992-2002: Revised eclampsia item is 2003+.]
eclampsia_unrevised,Eclampsia (Unrevised),risk_factors,ECLAMP,237-237,URF_ECLAMP,337-337,URF_ECLAMP,272-272,N/A,N/A,partial,Unrevised eclampsia (1=Yes; 2=No; 9=Unknown). 2006 (A+S) and 2014 (A+S). Not in 2022. 2006 also has 8. [1992-2002: 1989-era code structure.]
tobacco_use_revised,Cigarette Recode (Revised Y/N),risk_factors,N/A,N/A,CIG_REC,294-294,CIG_REC,238-238,CIG_REC,238-238,full,Y=Yes; N=No; U=Unknown. Version A only. 2006 also has X=Not on certificate. Position differs in 2006. [1992-2002: CIG_REC revised is 2003+.]
tobacco_cig_1st_tri,Cigarettes 1st Trimester,risk_factors,N/A,N/A,CIG_1,284-285,CIG_1,232-233,CIG_1,232-233,full,00-98 daily; 99=Unknown. Version A only. Position differs in 2006. [1992-2002: Trimester-specific cigarette counts are 2003+.]
tobacco_cig_2nd_tri,Cigarettes 2nd Trimester,risk_factors,N/A,N/A,CIG_2,286-287,CIG_2,234-235,CIG_2,234-235,full,00-98 daily; 99=Unknown. Version A only. Position differs in 2006. [1992-2002: Trimester-specific cigarette counts are 2003+.]
tobacco_cig_3rd_tri,Cigarettes 3rd Trimester,risk_factors,N/A,N/A,CIG_3,288-289,CIG_3,236-237,CIG_3,236-237,full,00-98 daily; 99=Unknown. Version A only. Position differs in 2006. [1992-2002: Trimester-specific cigarette counts are 2003+.]
tobacco_cig_prepreg,Cigarettes Before Pregnancy,risk_factors,N/A,N/A,N/A,N/A,CIG_0,230-231,CIG_0,230-231,within_era,00-98 daily; 99=Unknown. Version A only. Not in 2006 layout. Available 2014+. [1992-2002: CIG_0 is 2014+.]
tobacco_use_unrevised,Tobacco Use (Unrevised Y/N),risk_factors,TOBACCO,245-245,TOBUSE,290-290,N/A,N/A,N/A,N/A,within_era,1=Yes; 2=No; 9=Unknown. Version S only. Only in 2006. [1992-2002: 1=Yes;2=No;9=Unknown. Same as 2006 TOBUSE. Subject to residence state reporting (flag TOBUSE at 328).]
prepregnancy_bmi,Pre-pregnancy BMI,risk_factors,N/A,N/A,N/A,N/A,BMI,245-248,BMI,245-248,within_era,13.0-69.9; 99.9=Unknown. Version A only. Not in 2006 public-use file. Available 2014+. [1992-2002: BMI is 2014+.]
prepregnancy_bmi_recode,Pre-pregnancy BMI Recode,risk_factors,N/A,N/A,N/A,N/A,BMI_R,249-249,BMI_R,249-249,within_era,6-category BMI recode. Version A only. Not in 2006. Available 2014+. [1992-2002: BMI recode is 2014+.]
uterine_rupture,Ruptured Uterus,morbidity,N/A,N/A,N/A,N/A,MM_RUPT,281-281,MM_RUPT,281-281,within_era,"Y/N/U. Version A only. Not in 2006 public-use file. Available 2014+. [1992-2002: Maternal morbidity MM_RUPT is 2003+ concept (intrapartum uterine rupture as a maternal outcome). 1992 RUPTURE at 265 is 'Premature rupture of membrane' — a labor complication, NOT the same item.]"
icu_admission,Admit to Intensive Care,morbidity,N/A,N/A,N/A,N/A,MM_ICU,282-282,MM_ICU,282-282,within_era,Y/N/U. Version A only. Not in 2006 public-use file. Available 2014+. [1992-2002: MM_ICU is 2014+.]
cause_icd10,Initiating Cause/Condition ICD-10 Code,cause_of_death,N/A,N/A,N/A,N/A,IICOD,2603-2607,IICOD,2603-2607,within_era,5-character ICD-10 code; blank=none reported. Version A only. Not in 2006 public-use file. Available 2014+. [1992-2002: ICD-10 cause of fetal death not in public-use file pre-2014. Pre-2014 only via NCHS RDC.]
cause_recode124,Initiating Fetal Cause Recode 124,cause_of_death,N/A,N/A,N/A,N/A,IC_124_Fetal,2643-2645,IC_124_Fetal,2643-2645,within_era,3-digit recode (001-124). Version A only. Not in 2006 public-use file. Available 2014+. [1992-2002: ICD-10 recode not in public-use file pre-2014.]
cause_reporting_flag,Initiating Cause/Condition Reporting Flag,cause_of_death,N/A,N/A,N/A,N/A,F_ICOD,2651-2651,F_ICOD,2651-2651,within_era,0=Not reporting; 1=Reporting. Version A only. Not in 2006. Available 2014+. [1992-2002: Cause reporting flag added 2014.]
attendant,Attendant at Delivery,delivery,FATTND,10-10,ATTEND,410-410,ATTEND,283-283,ATTEND,283-283,full,1=MD; 2=DO; 3=CNM; 4=Other Midwife; 5=Other; 9=Unknown. Same coding all years (A+S). Position differs in 2006. [1992-2002: Same coding (1=MD;2=DO;3=CNM;4=Other midwife;5=Other;9=Unknown).]
delivery_place_revised,Delivery Place (Revised),delivery,N/A,N/A,BFACIL,41-41,BFACIL,34-34,BFACIL,34-34,full,7-category revised place (Hospital/Birth Center/Home intended/etc). Version A only. Same coding all years; position differs in 2006. [1992-2002: Revised BFACIL is 2003+.]
delivery_place_unrevised,Delivery Place (Unrevised),delivery,PLDEL,8-8,UBFACIL,42-42,UBFACIL,35-35,N/A,N/A,within_era,"WARNING: V2 vs V1 use INCOMPATIBLE place-of-delivery taxonomies in this column. V2 PLDEL: 1=Hospital, 2=Doctor's office/residence/public place collapsed, 3=En route, 9=Unknown. V1 UBFACIL: 1=Hospital, 2=Birth Center, 3=Home (intended), 4=Home (unintended), 5=Other, 9=Unknown. Codes 2 and 3 mean DIFFERENT THINGS across eras (V2 2='Doctor/home/public' vs V1 2='Birth Center'; V2 3='En route' vs V1 3='Home intended'). Cross-era groupby on this column produces wrong results. AUDIT-V2-FINAL M3 closure (2026-04-22) re-labeled partial -> within_era. Use V2 yearly raw parquet PLDEL for V2; use V1 yearly raw parquet UBFACIL for V1."
delivery_place_recode,Delivery Place Recode,delivery,PLDEL2,9-9,BFACIL3,59-59,BFACIL3,52-52,BFACIL3,52-52,full,"1=In Hospital; 2=Not in Hospital; 3=Unknown. Same coding all years (A+S). Position differs in 2006. [1992-2002: V2 raw PLDEL2 (9-9) only has 2 codes (Hospital/Not, where Not includes Unknown). harmonize.py re-derives delivery_place_recode from raw PLDEL (8-8) to recover the V1 3-bucket scheme: PLDEL=1 Hospital -> 1; PLDEL=3 En route -> 1 (matches PLDEL2 collapse); PLDEL=2 Doctor/home/public -> 2; PLDEL=9 Unknown -> 3. AUDIT-V2-FINAL B6 closure (2026-04-22)."
breech_unrevised,Breech Delivery (Unrevised),delivery,BREECH,273-273,ULD_BREECH,384-384,ULD_BREECH,273-273,N/A,N/A,within_era,"WARNING: V2 vs V1 measure DIFFERENT CONCEPTS in this column. V2 1989-rev BREECH (273) is 'Breech/Malpresentation' (broader: includes any malpresentation — breech, transverse, brow, face). V1 2006+ ULD_BREECH is 'Breech Delivery' (narrower: only breech-position deliveries). Code coding also differs: V2 1=Reported/2=Not reported/8=Not on cert/9=Not classifiable; V1 1=Yes/2=No/8=Not on cert/9=Not stated. Cross-era groupby/filtering on this column conflates two distinct clinical concepts. AUDIT-V2-FINAL B5 closure (2026-04-22) re-labeled partial -> within_era. Use V2 yearly raw parquet BREECH for 1989-era only; use V1 yearly raw parquet ULD_BREECH for V1 only."
estimated_time_fetal_death,Estimated Time of Fetal Death,fetal,N/A,N/A,N/A,N/A,ESTOFD,357-357,ESTOFD,357-357,within_era,N=At assessment no labor; L=At assessment labor; A=Labor no assessment; U=Unknown. Version A only. Not in 2006 public-use file. Available 2014+. [1992-2002: ESTOFD added 2014 (revised only).]
gestation_imputed_flag,Gestation Imputed Flag,fetal,GESTIMP,196-196,GEST_IMP,457-457,GEST_IMP,329-329,GEST_IMP,329-329,full,Blank=Not imputed; 1=Imputed. Same coding all years (A+S). Position differs in 2006. [1992-2002: Blank=Not imputed;1=Imputed. Same concept as GEST_IMP.]
obgest_used_flag,Obstetric Estimate of Gestation Used Flag,fetal,N/A,N/A,OBGEST_FLG,456-456,OBGEST_FLG,330-330,OBGEST_FLG,330-330,full,Blank=Not used; 1=Used. Same coding all years (A+S). Position differs in 2006. [1992-2002: Obstetric-estimate-used flag is 2014+ (post-revision). 1992 has GESTESTM (195) which is 'clinical-estimate-used flag' — a different concept in the 1989 era where OE ≠ clinical.]
