position_start,position_end,length,field_name,description,applies_to,values_summary,notes
31,32,2,ILLB_R11,Interval since last live birth recode,all,"0=0-3 months (plural); 1=4-11mo; 2=12-17mo; 3=18-23mo; 4=24-35mo; 5=36-47mo; 6=48-59mo; 7=60-71mo; 8=72+mo; 88=NA (1st live birth)",
33,34,2,ILOP_R11,Interval since last other pregnancy recode,all,"0=0-3 months (plural); 1=4-11mo; ...; 8=72+mo; 88=NA (1st natality event); 99=Unknown",
35,36,2,ILP_R11,Interval since last pregnancy recode,all,"0=0-3 months (plural); 1=4-11mo; ...; 8=72+mo; 88=NA (no previous pregnancy); 99=Unknown",
37,38,2,PRECARE,Month prenatal care began,all,"0=No prenatal care; 1-10=Month began",
39,39,1,PRECARE5,Month prenatal care began (recode),all,"1=1st-3rd month; 2=4th-6th; 3=7th to final; 4=No prenatal care; 5=Unknown",
40,41,2,PREVIS_R,Number of prenatal visits recode,all,"1=No visits; 2=1-2; 3=3-4; 4=5-6; 5=7-8; 6=9-10; 7=11-12; 8=13-14; 9=15-16; 10=17-18; 11=19+; 12=Unknown",
42,42,1,WIC,WIC during pregnancy,all,"Y=Yes; N=No; U=Unknown",
43,44,2,CIG_0,Cigarettes 3 months before pregnancy,all,"00-97=count; 98=98+; 99=Unknown",
45,46,2,CIG_1,Cigarettes smoked 1st trimester,all,"00-97=count; 98=98+; 99=Unknown",
47,48,2,CIG_2,Cigarettes smoked 2nd trimester,all,"00-97=count; 98=98+; 99=Unknown",
49,50,2,CIG_3,Cigarettes smoked 3rd trimester,all,"00-97=count; 98=98+; 99=Unknown",
51,51,1,CIG0_R,Cigarettes 3 months before pregnancy (recode),all,"0=Nonsmoker; 1=1-5; 2=6-10; 3=11-20; 4=21-40; 5=41+; 6=Unknown",
52,52,1,CIG1_R,Cigarettes 1st trimester (recode),all,"0=Nonsmoker; 1=1-5; 2=6-10; 3=11-20; 4=21-40; 5=41+; 6=Unknown",
53,53,1,CIG2_R,Cigarettes 2nd trimester (recode),all,"0=Nonsmoker; 1=1-5; 2=6-10; 3=11-20; 4=21-40; 5=41+; 6=Unknown",
54,54,1,CIG3_R,Cigarettes 3rd trimester (recode),all,"0=Nonsmoker; 1=1-5; 2=6-10; 3=11-20; 4=21-40; 5=41+; 6=Unknown",
55,55,1,CIG_R,Cigarette smoking (any),all,"Y=Yes; N=No; U=Unknown",
56,56,1,BMI_R,Body mass index recode,all,"1=Underweight <18.5; 2=Normal 18.5-24.9; 3=Overweight 25.0-29.9; 4=Obesity I 30.0-34.9; 5=Obesity II 35.0-39.9; 6=Obesity III 40+; 9=Unknown",
57,57,1,WTGAIN_R,Weight gain recode,all,"1=<11lb; 2=11-20; 3=21-30; 4=31-40; 5=41-98; 9=Unknown",
58,58,1,RF_PDIAB,Prepregnancy diabetes,all,"Y=Yes; N=No; U=Unknown",
59,59,1,RF_GDIAB,Gestational diabetes,all,"Y=Yes; N=No; U=Unknown",
60,60,1,RF_PHYPE,Prepregnancy hypertension,all,"Y=Yes; N=No; U=Unknown",
61,61,1,RF_GHYPE,Gestational hypertension,all,"Y=Yes; N=No; U=Unknown",
62,62,1,RF_PPTERM,Previous preterm birth,all,"Y=Yes; N=No; U=Unknown",
63,63,1,RF_INFTR,Infertility treatment used,all,"Y=Yes; N=No; U=Unknown",
64,64,1,RF_CESAR,Previous cesarean,all,"Y=Yes; N=No; U=Unknown",
65,66,2,RF_CESARN,Number of previous cesareans,all,"0=None; 1-30=count; 99=Unknown",
67,67,1,NO_RISKS,No risk factors reported,all,"1=TRUE; 0=FALSE; 9=Not reported",
68,68,1,IP_GON,Gonorrhea,all,"Y=Yes; N=No; U=Unknown",
69,69,1,IP_SYPH,Syphilis,all,"Y=Yes; N=No; U=Unknown",
70,70,1,IP_CHLAM,Chlamydia,all,"Y=Yes; N=No; U=Unknown",
71,71,1,IP_HEPB,Hepatitis B,all,"Y=Yes; N=No; U=Unknown",
72,72,1,IP_HEPC,Hepatitis C,all,"Y=Yes; N=No; U=Unknown",
73,73,1,NO_INFEC,No infections reported,all,"1=TRUE; 0=FALSE; 9=Not reported",
74,74,1,OB_ECVS,Successful external cephalic version,all,"Y=Yes; N=No; U=Unknown",
75,75,1,OB_ECVF,Failed external cephalic version,all,"Y=Yes; N=No; U=Unknown",
76,76,1,LD_INDL,Induction of labor,all,"Y=Yes; N=No; U=Unknown",
77,77,1,LD_AUGM,Augmentation of labor,all,"Y=Yes; N=No; U=Unknown",
78,78,1,LD_STER,Steroids,all,"Y=Yes; N=No; U=Unknown",
79,79,1,LD_ANTB,Antibiotics,all,"Y=Yes; N=No; U=Unknown",
80,80,1,LD_CHOR,Chorioamnionitis,all,"Y=Yes; N=No; U=Unknown",
81,81,1,LD_ANES,Anesthesia,all,"Y=Yes; N=No; U=Unknown",
82,82,1,NO_LBRDLV,No characteristics of labor reported,all,"1=TRUE; 0=FALSE; 9=Not reported",
83,83,1,ME_PRES,Fetal presentation at delivery,all,"1=Cephalic; 2=Breech; 3=Other; 9=Unknown",
84,84,1,ME_ROUT,Final route and method of delivery,all,"1=Spontaneous; 2=Forceps; 3=Vacuum; 4=Cesarean; 9=Unknown",
85,85,1,ME_TRIAL,Trial of labor attempted (if cesarean),all,"Y=Yes; N=No; X=Not applicable; U=Unknown",
86,86,1,DMETHOD,Delivery method,all,"1=Vaginal (except after C-section); 2=Vaginal after previous C-section; 3=Primary C-section; 4=Repeat C-section; 5=Vaginal (previous C-section unknown); 6=C-section (previous C-section unknown); 9=Unknown",
87,87,1,DMETHOD_R,Delivery method recode,all,"1=Vaginal; 2=C-section; 9=Unknown",
88,88,1,MM_MTR,Maternal transfusion,all,"Y=Yes; N=No; U=Unknown",
89,89,1,MM_PLAC,Perineal laceration,all,"Y=Yes; N=No; U=Unknown",
90,90,1,MM_RUPT,Ruptured uterus,all,"Y=Yes; N=No; U=Unknown",
91,91,1,MM_UHYST,Unplanned hysterectomy,all,"Y=Yes; N=No; U=Unknown",
92,92,1,MM_AICU,Admit to intensive care,all,"Y=Yes; N=No; U=Unknown",
93,93,1,NO_MMORB,No maternal morbidity reported,all,"1=TRUE; 0=FALSE; 9=Not reported",
94,94,1,ATTEND,Attendant at birth,all,"1=MD; 2=DO; 3=CNM/CM; 4=Other midwife; 5=Other; 9=Unknown",
95,95,1,MTAN,Mother transferred,all,"Y=Yes; N=No; U=Unknown",
96,96,1,PAY_R,Source of payment recode,all,"1=Medicaid; 2=Private insurance; 3=Self pay; 4=Other; 9=Unknown",
97,98,2,APGAR5,5 minute APGAR score,all,"00-10=score; 99=Unknown",
99,99,1,APGAR5R,5 minute APGAR score recode,all,"1=0-3; 2=4-6; 3=7-8; 4=9-10; 5=Unknown",
100,101,2,APGAR10,10 minute APGAR score,all,"00-10=score; 88=Not applicable; 99=Unknown",
102,102,1,APGAR10R,10 minute APGAR score recode,all,"1=0-3; 2=4-6; 3=7-8; 4=9-10; 5=Unknown/NA",
103,103,1,SETORDER,Set order,all,"1=1st; 2=2nd; 3=3rd; 4=4th; 9=Unknown",
104,104,1,SEX,Sex of infant,all,"M=Male; F=Female",
105,105,1,SEX_IMP,Imputed sex,all,"Blank=Not imputed; 1=Imputed",File uses '.' as blank sentinel for not-imputed
106,107,2,OEGEST,Obstetric estimate edited (NCHS standard),all,"17-47=weeks; 99=Unknown",Left-justified
108,109,2,OEGEST_R10,Obstetric estimate (10 categories),all,"1=<20wk; 2=20-27wk; 3=29-31wk; 4=32-33wk; 5=34-36wk; 6=37-38wk; 7=39wk; 8=40wk; 9=41wk; 10=42wk+; 99=Unknown",Left-justified
110,111,2,OEGEST_R12,Obstetric estimate (12 categories),FD,"1=<16wk; 2=16-19wk; 3=20-23wk; 4=24-27wk; 5=28-31wk; 6=32-33wk; 7=34-36wk; 8=37-38wk; 9=39-40wk; 10=41wk; 11=42wk+; 12=Unknown",Fetal-death only; live births show blank sentinel
112,112,1,OEGEST_R3,Obstetric estimate (3 categories),all,"1=<37wk; 2=37wk+; 3=Unknown",
113,113,1,OEGEST_R5,Obstetric estimate (5 categories),FD,"1=<20wk; 2=20-23wk; 3=24-27wk; 4=28wk+; 5=Unknown",Fetal-death only; live births show blank sentinel
114,115,2,BWTR12,Birthweight recode (12 categories),all,"1=227-499g; 2=500-999g; 3=1000-1499g; 4=1500-1999g; 5=2000-2499g; 6=2500-2999g; 7=3000-3499g; 8=3500-3999g; 9=4000-4499g; 10=4500-4999g; 11=5000-8165g; 12=Unknown",Left-justified
116,117,2,BWTR14,Birthweight recode (14 categories),FD,"1=<=249g; 2=250-349g; 3=350-499g; 4=500-999g; 5=1000-1499g; 6=1500-1999g; 7=2000-2499g; 8=2500-2999g; 9=3000-3499g; 10=3500-3999g; 11=4000-4499g; 12=4500-4999g; 13=5000-8165g; 14=Unknown",Fetal-death only; finer-grained low-weight categories
118,118,1,BWTR4,Birthweight recode (4 categories),all,"1=227-1499g; 2=1500-2499g; 3=2500-8165g; 4=Unknown",
119,119,1,AB_AVEN1,Assisted ventilation (immediately),all,"Y=Yes; N=No; U=Unknown",
120,120,1,AB_AVEN6,Assisted ventilation (>6 hours),all,"Y=Yes; N=No; U=Unknown",
121,121,1,AB_NICU,Admission to NICU,all,"Y=Yes; N=No; U=Unknown",
122,122,1,AB_SURF,Surfactant,all,"Y=Yes; N=No; U=Unknown",
123,123,1,AB_ANTI,Antibiotics for newborn,all,"Y=Yes; N=No; U=Unknown",
124,124,1,AB_SEIZ,Seizures,all,"Y=Yes; N=No; U=Unknown",
125,125,1,NO_ABNORM,No abnormal conditions checked,all,"1=TRUE; 0=FALSE; 9=Not reported",
126,126,1,CA_ANEN,Anencephaly,all,"Y=Yes; N=No; U=Unknown",
127,127,1,CA_MNSB,Meningomyelocele/spina bifida,all,"Y=Yes; N=No; U=Unknown",
128,128,1,CA_CCHD,Cyanotic congenital heart disease,all,"Y=Yes; N=No; U=Unknown",
129,129,1,CA_CDH,Congenital diaphragmatic hernia,all,"Y=Yes; N=No; U=Unknown",
130,130,1,CA_OMPH,Omphalocele,all,"Y=Yes; N=No; U=Unknown",
131,131,1,CA_GAST,Gastroschisis,all,"Y=Yes; N=No; U=Unknown",
132,132,1,CA_LIMB,Limb reduction defect,all,"Y=Yes; N=No; U=Unknown",
133,133,1,CA_CLEFT,Cleft lip with/without cleft palate,all,"Y=Yes; N=No; U=Unknown",
134,134,1,CA_CLPAL,Cleft palate alone,all,"Y=Yes; N=No; U=Unknown",
135,135,1,CA_DOWN,Down syndrome,all,"Y=Yes; N=No; U=Unknown",
136,136,1,CA_DISOR,Suspected chromosomal disorder,all,"Y=Yes; N=No; U=Unknown",
137,137,1,CA_HYPO,Hypospadias,all,"Y=Yes; N=No; U=Unknown",
138,138,1,NO_CONGEN,No congenital anomalies checked,all,"1=TRUE; 0=FALSE; 9=Not reported",
139,139,1,ITRAN,Infant transferred,all,"Y=Yes; N=No; U=Unknown",
140,140,1,ILIVE,Infant living at time of report,all,"Y=Yes; N=No; U=Unknown",
141,143,3,AGED,Age at death in days,ID,"0=0 days (includes unknown); 01-364=days",Left-justified; non-infant-death records show blank sentinel
144,144,1,AGER5,Infant age at death recode (5 categories),ID,"1=<1 hour (incl unknown); 2=1-23 hours; 3=1-6 days; 4=7-27 days (late neonatal); 5=28 days+ (postneonatal)",
145,146,2,AGER22,Infant age at death recode (22 categories),ID,"Blank=Unknown; 1=<1 hour (incl unknown); 2=1-23 hours; 3=1 day; 4=2 days; 5=3 days; 6=4 days; 7=5 days; 8=6 days; 9=7-13 days; 10=14-20 days; 11=21-27 days; 12=1 month; 13=2 months; ...; 22=11 months",
147,147,1,MANNER,Manner of death,ID,"1=Accident; 2=Suicide; 3=Homicide; 4=Pending investigation; 5=Could not determine; 6=Self-inflicted; 7=Natural; Blank=Not specified",
148,148,1,DISPO,Method of disposition,ID,"B=Burial; C=Cremation; O=Other; U=Unknown",
149,149,1,AUTOPSY,Autopsy,ID,"Y=Yes; N=No; U=Unknown",
150,150,1,PLACE,Place of injury for causes W00-Y34,ID,"0=Home; 1=Residential institution; 2=School/institution/public admin; 3=Sports and athletics area; 4=Street and highway; 5=Trade and service area; 6=Industrial and construction area; 7=Farm; 8=Other specified; 9=Unspecified; Blank=Cause other than W00-Y34",
151,154,4,UCOD,ICD code (10th revision),ID,4-character ICD-10 underlying cause of death,External cause codes (V-Y) do not include letter prefix
155,157,3,UCODR130,130 infant cause recode,ID,001-130 (variable-width: 1-3 digits),"Last field of record; right-trimmed of trailing blanks → file has variable line length (155 bytes for survivors+fetal-deaths or 1-digit UCODR130; 156 if 2-digit; 157 if 3-digit). Doc-implied 157-byte max matches actual longest record."
