position_start,position_end,length,field_name,description,applies_to,values_summary,notes
125,125,1,ANEMIA,Anemia (HCT<30/HGB<10),all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",MEDRISK umbrella positions 125-141
126,126,1,CARDIAC,Cardiac disease,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
127,127,1,LUNG,Acute or chronic lung disease,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
128,128,1,DIABETES,Diabetes,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
129,129,1,HERPES,Genital herpes,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
130,130,1,HYDRA,Hydramnios/oligohydramnios,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
131,131,1,HEMO,Hemoglobinopathy,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
132,132,1,CHYPER,Hypertension chronic,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
133,133,1,PHYPER,Hypertension pregnancy-associated,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
134,134,1,ECLAMP,Eclampsia,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
135,135,1,INCERVIX,Incompetent cervix,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
136,136,1,PRE4000,Previous infant 4000+ grams,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
137,137,1,PRETERM,Previous preterm or small-for-gestational-age infant,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
138,138,1,RENAL,Renal disease,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
139,139,1,RH,RH sensitization,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
140,140,1,UTERINE,Uterine bleeding,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
141,141,1,OTHERMR,Other medical risk factors,all,"1=Factor reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
142,142,1,TOBACCO,Tobacco use during pregnancy,all,"1=Yes; 2=No; 9=Unknown or not stated",
143,144,2,CIGAR,Average number of cigarettes per day,all,"00-97=count; 98=98+; 99=Unknown",
145,145,1,CIGAR6,Average cigarettes per day (recode),all,"0=Nonsmoker; 1=1-5; 2=6-10; 3=11-20; 4=21-40; 5=41+; 6=Unknown",
146,146,1,ALCOHOL,Alcohol use during pregnancy,all,"1=Yes; 2=No; 9=Unknown or not stated",
147,148,2,DRINK,Average number of drinks per week,all,"00-97=count; 98=98+; 99=Unknown",
149,149,1,DRINK5,Average drinks per week (recode),all,"0=Non-drinker; 1=1/week; 2=2/week; 3=3-4/week; 4=5+/week; 5=Unknown",
150,151,2,WTGAIN,Weight gain (pounds),all,"00-97=count; 98=98+; 99=Unknown",
152,152,1,WTGAIN9,Weight gain recode,all,"1=<16lb; 2=16-20; 3=21-25; 4=26-30; 5=31-35; 6=36-40; 7=41-45; 8=46+; 9=Unknown",
153,153,1,AMNIO,Amniocentesis,all,"1=Procedure reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",OBSTETRC umbrella positions 153-159
154,154,1,MONITOR,Electronic fetal monitoring,all,"1=Procedure reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
155,155,1,INDUCT,Induction of labor,all,"1=Procedure reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
156,156,1,STIMULA,Stimulation of labor,all,"1=Procedure reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
157,157,1,TOCOL,Tocolysis,all,"1=Procedure reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
158,158,1,ULTRAS,Ultrasound,all,"1=Procedure reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
159,159,1,OTHEROB,Other obstetric procedures,all,"1=Procedure reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
160,160,1,FEBRILE,Febrile (>100F or 38C),all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",LABOR umbrella positions 160-175
161,161,1,MECONIUM,Meconium moderate/heavy,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
162,162,1,RUPTURE,Premature rupture of membrane (>12 hours),all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
163,163,1,ABRUPTIO,Abruptio placenta,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
164,164,1,PREPLACE,Placenta previa,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
165,165,1,EXCEBLD,Other excessive bleeding,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
166,166,1,SEIZURE,Seizures during labor,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
167,167,1,PRECIP,Precipitous labor (<3 hours),all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
168,168,1,PROLONG,Prolonged labor (>20 hours),all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
169,169,1,DYSFUNC,Dysfunctional labor,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
170,170,1,BREECH,Breech/malpresentation,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
171,171,1,CEPHALO,Cephalopelvic disproportion,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
172,172,1,CORD,Cord prolapse,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
173,173,1,ANESTHE,Anesthetic complications,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
174,174,1,DISTRESS,Fetal distress,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
175,175,1,OTHERLB,Other complication of labor and/or delivery,all,"1=Complication reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
176,176,1,NANEMIA,Anemia (HCT<39/HGB<13),all,"1=Condition reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",NEWBORN umbrella 176-184; not applicable to fetal deaths
177,177,1,INJURY,Birth injury,all,"1=Condition reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
178,178,1,ALCOSYN,Fetal alcohol syndrome,all,"1=Condition reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
179,179,1,HYALINE,Hyaline membrane disease,all,"1=Condition reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
180,180,1,MECONSYN,Meconium aspiration syndrome,all,"1=Condition reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
181,181,1,VENL30,Assisted ventilation <30 minutes,all,"1=Condition reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
182,182,1,VEN30M,Assisted ventilation 30 minutes+,all,"1=Condition reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
183,183,1,NSEIZ,Seizures (newborn),all,"1=Condition reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
184,184,1,OTHERAB,Other abnormal conditions of newborn,all,"1=Condition reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
185,185,1,ANEN,Anencephalus,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",CONGENIT umbrella 185-206
186,186,1,SPINA,Spina bifida/meningocele,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
187,187,1,HYDRO,Hydrocephalus,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
188,188,1,MICROCE,Microcephalus,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
189,189,1,NERVOUS,Other central nervous system anomalies,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
190,190,1,HEART,Heart malformations,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
191,191,1,CIRCUL,Other circulatory/respiratory anomalies,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
192,192,1,RECTAL,Rectal atresia/stenosis,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
193,193,1,TRACHEO,Tracheo-esophageal fistula/esophageal atresia,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
194,194,1,OMPHALO,Omphalocele/gastroschisis,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
195,195,1,GASTRO,Other gastrointestinal anomalies,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
196,196,1,GENITAL,Malformed genitalia,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
197,197,1,RENALAGE,Renal agenesis,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
198,198,1,UROGEN,Other urogenital anomalies,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
199,199,1,CLEFTLP,Cleft lip/palate,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
200,200,1,ADACTYLY,Polydactyly/syndactyly/adactyly,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
201,201,1,CLUBFOOT,Club foot,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
202,202,1,HERNIA,Diaphragmatic hernia,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
203,203,1,MUSCULO,Other musculoskeletal/integumental anomalies,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
204,204,1,DOWNS,Down's syndrome,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
205,205,1,CHROMO,Other chromosomal anomalies,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
206,206,1,OTHERCON,Other congenital anomalies,all,"1=Anomaly reported; 2=Not reported; 8=Not on certificate; 9=Not classifiable",
207,207,1,FLGESTALL,Reporting flag: all gestations reported,all,"0=Not reported; 1=Reported or partially reported",FLRES umbrella 207-226; applies to fetal deaths only
208,208,1,FLGORIGM,Reporting flag: origin of mother,all,"0=Not reported; 1=Reported or partially reported",
209,209,1,FLGORIGF,Reporting flag: origin of father,all,"0=Not reported; 1=Reported or partially reported",
210,210,1,FLGDMARF,Reporting flag: marital status (FD only),all,"0=Not reported; 1=Reported or partially reported",Fetal deaths only
211,211,1,FLGLMP,Reporting flag: date of last normal menses (FD only),all,"0=Not reported; 1=Reported or partially reported",Fetal deaths only
212,212,1,FLGPNVF,Reporting flag: number of prenatal visits (FD only),all,"0=Not reported; 1=Reported or partially reported",Fetal deaths only
213,213,1,FLGGESTE,Reporting flag: clinical estimate of gestation,all,"0=Not reported; 1=Reported or partially reported",
214,214,1,FLGFMAPS,Reporting flag: 5-minute APGAR score,all,"0=Not reported; 1=Reported or partially reported",
215,215,1,FLGDELMT,Reporting flag: method of delivery,all,"0=Not reported; 1=Reported or partially reported",
216,216,1,FLGMEDRS,Reporting flag: medical risk factors,all,"0=Not reported; 1=Reported or partially reported",
217,217,1,FLGTOBUSE,Reporting flag: tobacco use,all,"0=Not reported; 1=Reported or partially reported",
218,218,1,FLGCIGARS,Reporting flag: number of cigarettes (FD only),all,"0=Not reported; 1=Reported or partially reported",Fetal deaths only
219,219,1,FLGALCUSE,Reporting flag: alcohol use,all,"0=Not reported; 1=Reported or partially reported",
220,220,1,FLGDRINKS,Reporting flag: number of drinks (FD only),all,"0=Not reported; 1=Reported or partially reported",Fetal deaths only
221,221,1,FLGWTGN,Reporting flag: weight gain,all,"0=Not reported; 1=Reported or partially reported",
222,222,1,FLGOBSTRC,Reporting flag: obstetric procedures,all,"0=Not reported; 1=Reported or partially reported",
223,223,1,FLGLABOR,Reporting flag: complications of labor and/or delivery,all,"0=Not reported; 1=Reported or partially reported",
224,224,1,FLGABNML,Reporting flag: abnormal conditions of newborn,all,"0=Not reported; 1=Reported or partially reported",
225,225,1,FLGCONG,Reporting flag: congenital anomalies,all,"0=Not reported; 1=Reported or partially reported",
226,226,1,FLGEDUC,Reporting flag: education of mother (based on MSA),all,"0=Not reported; 1=Reported or partially reported",
227,227,1,RESERVED_227,Reserved position,all,Reserved (blank),Cut-line: positions 1-227 cover live births + fetal deaths + infant deaths; 228+ are infant-death-only fields
228,230,3,AGED,Age at death in days,ID,"000-364=days",Computed from death cert minus birth cert; imputed when dates unknown
231,231,1,AGER5,Infant age recode 5,ID,"1=<1 hour; 2=1-23 hours; 3=1-6 days; 4=7-27 days (late neonatal); 5=28 days+ (postneonatal)",
232,232,1,ACCIDPL,Place of accident for ICD-9 causes E850-E869 and E880-E928,ID,"Blank=Cause other; 0=Home; 1=Farm; 2=Mine and quarry; 3=Industrial place; 4=Recreation/sport; 5=Street and highway; 6=Public building; 7=Resident institution; 8=Other specified; 9=Not specified",
233,236,4,UCOD,ICD code (9th revision) underlying cause of death,ID,4-character ICD-9 code (3-digit + 1-digit subcategory),External cause codes (E800-E999) do not include letter E; position 236 blank for 3-digit-only causes
237,239,3,UCODR61,61 infant cause recode,ID,010-680 (recode-into-61-groups; range not inclusive),
240,241,2,EANUM,Number of entity-axis conditions,ID,00-20,Sub-component of MULTCOND umbrella positions 240-381
242,248,7,ENTITY_01,Entity-axis condition 01 (7 bytes: part/line + seq + 4-digit ICD-9 + nature-of-injury flag),ID,"Positions: 1=Part/line (1-6); 2=Sequence (1-7); 3-6=ICD-9 code; 7=Nature-of-injury flag (1=NoI; 0=other)",
249,255,7,ENTITY_02,Entity-axis condition 02,ID,Same structure as ENTITY_01,
256,262,7,ENTITY_03,Entity-axis condition 03,ID,Same structure as ENTITY_01,
263,269,7,ENTITY_04,Entity-axis condition 04,ID,Same structure as ENTITY_01,
270,276,7,ENTITY_05,Entity-axis condition 05,ID,Same structure as ENTITY_01,
277,283,7,ENTITY_06,Entity-axis condition 06,ID,Same structure as ENTITY_01,
284,290,7,ENTITY_07,Entity-axis condition 07,ID,Same structure as ENTITY_01,
291,297,7,ENTITY_08,Entity-axis condition 08,ID,Same structure as ENTITY_01,
298,304,7,ENTITY_09,Entity-axis condition 09,ID,Same structure as ENTITY_01,
305,311,7,ENTITY_10,Entity-axis condition 10,ID,Same structure as ENTITY_01,
312,318,7,ENTITY_11,Entity-axis condition 11,ID,Same structure as ENTITY_01,
319,325,7,ENTITY_12,Entity-axis condition 12,ID,Same structure as ENTITY_01,
326,332,7,ENTITY_13,Entity-axis condition 13,ID,Same structure as ENTITY_01,
333,339,7,ENTITY_14,Entity-axis condition 14,ID,Same structure as ENTITY_01,
340,346,7,ENTITY_15,Entity-axis condition 15,ID,Same structure as ENTITY_01,
347,353,7,ENTITY_16,Entity-axis condition 16,ID,Same structure as ENTITY_01,
354,360,7,ENTITY_17,Entity-axis condition 17,ID,Same structure as ENTITY_01,
361,367,7,ENTITY_18,Entity-axis condition 18,ID,Same structure as ENTITY_01,
368,374,7,ENTITY_19,Entity-axis condition 19,ID,Same structure as ENTITY_01,
375,381,7,ENTITY_20,Entity-axis condition 20,ID,Same structure as ENTITY_01,
382,383,2,RANUM,Number of record-axis conditions,ID,00-20,Sub-component of RECORD umbrella positions 384-483
384,388,5,RECORD_01,Record-axis condition 01 (5 bytes: 4-digit ICD-9 + nature-of-injury flag),ID,"Positions: 1-4=ICD-9 code; 5=Nature-of-injury flag (1=NoI; 0=other)",
389,393,5,RECORD_02,Record-axis condition 02,ID,Same structure as RECORD_01,
394,398,5,RECORD_03,Record-axis condition 03,ID,Same structure as RECORD_01,
399,403,5,RECORD_04,Record-axis condition 04,ID,Same structure as RECORD_01,
404,408,5,RECORD_05,Record-axis condition 05,ID,Same structure as RECORD_01,
409,413,5,RECORD_06,Record-axis condition 06,ID,Same structure as RECORD_01,
414,418,5,RECORD_07,Record-axis condition 07,ID,Same structure as RECORD_01,
419,423,5,RECORD_08,Record-axis condition 08,ID,Same structure as RECORD_01,
424,428,5,RECORD_09,Record-axis condition 09,ID,Same structure as RECORD_01,
429,433,5,RECORD_10,Record-axis condition 10,ID,Same structure as RECORD_01,
434,438,5,RECORD_11,Record-axis condition 11,ID,Same structure as RECORD_01,
439,443,5,RECORD_12,Record-axis condition 12,ID,Same structure as RECORD_01,
444,448,5,RECORD_13,Record-axis condition 13,ID,Same structure as RECORD_01,
449,453,5,RECORD_14,Record-axis condition 14,ID,Same structure as RECORD_01,
454,458,5,RECORD_15,Record-axis condition 15,ID,Same structure as RECORD_01,
459,463,5,RECORD_16,Record-axis condition 16,ID,Same structure as RECORD_01,
464,468,5,RECORD_17,Record-axis condition 17,ID,Same structure as RECORD_01,
469,473,5,RECORD_18,Record-axis condition 18,ID,Same structure as RECORD_01,
474,478,5,RECORD_19,Record-axis condition 19,ID,Same structure as RECORD_01,
479,483,5,RECORD_20,Record-axis condition 20,ID,Same structure as RECORD_01,
484,484,1,RESSTATD,Resident status (death side),ID,"1=Resident; 2=Intrastate nonresident; 3=Interstate nonresident; 4=Foreign resident",Death-record residence; distinct from RESTATUS (birth/fetal-death side)
485,501,17,RESERVED_485_501,Reserved positions,ID,Reserved (blank),
502,502,1,HOSPD,Hospital and patient status,ID,"1=Hospital/Clinic/Medical Center inpatient; 2=Outpatient or ER admitted; 3=Dead on arrival; 4=Patient status unknown; 5=Nursing home; 6=Residence; 7=Other; 9=Unknown",Last field of public-release record (positions 503-509 reserved per documentation but DELETED from public-release file → file content = 502 bytes)
